,SASA,Volume,HOMO,LUMO,IP,EA,Dipole,C_1_BV,C_1_SASA,C_1_P_int,C_1_charge,C_1_electrophilicity,C_1_nucleophilicity,C_1_radicalFukui,C_2_BV,C_2_SASA,C_2_P_int,C_2_charge,C_2_electrophilicity,C_2_nucleophilicity,C_2_radicalFukui,O_1_BV,O_1_SASA,O_1_P_int,O_1_charge,O_1_electrophilicity,O_1_nucleophilicity,O_1_radicalFukui,N_1_BV,N_1_SASA,N_1_P_int,N_1_charge,N_1_electrophilicity,N_1_nucleophilicity,N_1_radicalFukui
COc1ncc(Br)cc1C(=O)Nc1ccc(C)cc1C,501.7874530679199,346.8962172416689,-0.3752301212795619,-0.2897345743577402,7.502444016088093,0.6680802349263109,2.7122126805617626,0.6451145066631077,5.58842101360005,29.12473630086873,-0.0567783919237239,0.0511524537093773,0.0103755975244224,0.0307640256168999,0.5917064039975448,8.842398177310264,27.575747913684182,0.2731872861823631,0.0347703840386005,0.0093681840456557,0.0220692840421281,0.4304860011698689,27.01504486141245,19.24261915631173,-0.4264303660805596,0.0935979026579666,0.0670812641108324,0.0803395833843995,0.6495147808551696,3.9539879820977424,29.747076208303373,-0.1644404056017106,0.0268697538633058,0.0428004920010918,0.0348351229321988
Cc1cc(C(=O)Nc2cc([N+](=O)[O-])ccc2C)cc(Cl)n1,511.822558014568,332.9257385940526,-0.4005074749589277,-0.3177757342606966,8.22689427194055,1.6338721029548622,2.87403695569792,0.6195054677758595,4.688996913777887,29.074640650681083,-0.0056271416485774,0.0302781132538936,0.016561910682241,0.0234200119680673,0.5777831305785679,7.605334693624285,27.66349685207851,0.2743154473342631,0.0201809429053183,0.0110568421152981,0.0156188925103082,0.4327779268974524,28.796916266375217,19.02161829556273,-0.3905983315844092,0.0595929752814443,0.0820069767767442,0.0707999760290942,0.6183672609609343,3.2495807382700086,29.49021890154215,-0.1573617351078272,0.0169101824019712,0.0357879101094687,0.02634904625572
C#CC(C)(C)NC(=O)Cc1cc(F)cc(F)c1,445.4758088611137,286.0361495846542,-0.3985596066413704,-0.259073793975349,8.465736330023038,-0.5435540022696581,1.2076966341179247,0.5009387837458875,7.068164260385851,22.850945903180264,-0.1002489174914651,-0.01687814930058,0.0070276247874052,-0.0049252622565874,0.614484715282778,2.744063789489588,28.73761961306648,0.2833078656636747,0.0315442480718161,0.0148678100724218,0.0232060290721189,0.4494269471515475,26.7529768885354,17.752331559557042,-0.4236289061438671,0.0861909162250738,0.139519708030732,0.1128553121279029,0.683824079384887,1.393984974780239,31.659496818479028,-0.1823613913858516,0.0280377475078971,0.0428631298896043,0.0354504386987507
O=C(Nc1nccc(Cl)n1)C1c2ccccc2Oc2ccccc21,538.915235905266,365.2016469838974,-0.3812073270833352,-0.2814392294213117,7.438416593080868,0.6108255505525062,0.9522486091816978,0.6886377400639323,0.511863794870326,32.56191128405899,-0.0476768638615452,-0.0024786172135183,0.0018393332575079,-0.0003196419780052,0.6467453999384802,0.8460199223096037,32.429128781625124,0.2886698987258963,0.0222383423068563,0.006783419659002,0.0145108809829292,0.435043907097586,31.51843025115168,19.27395695659657,-0.3491182067877976,0.0699377187254641,0.0626291087376937,0.0662834137315789,0.6617924692478797,0.8729167868308746,33.096904604345,-0.1585832733174898,0.0175538937195718,0.0142367443322874,0.0158953190259296
C[C@@H](NC(=O)C1c2ccccc2Oc2ccccc21)c1ccccc1,517.1895875107914,406.1867289764783,-0.3715560468736913,-0.2422409793823871,7.382806562208197,-0.2171702591984636,1.1527202206862324,0.7024622623317385,0.5920139135130598,32.41131993367679,-0.0440701167967867,-0.0034776868957917,0.0077289874309321,0.0021256502675701,0.6882116577245404,1.31603076915063,33.90288627058894,0.2803085087333858,0.0130182534527225,0.0097172587704067,0.0113677561115646,0.4492405870381644,30.178846086388774,20.404724407101234,-0.4243573278029557,0.0567135968040631,0.0928305730927626,0.0747720849484128,0.7366474100167204,1.0939885422162083,31.394495912128058,-0.1921671321400857,0.0159780343689472,0.0253982569185575,0.0206881456437524
O=C(Cc1cc(F)cc(F)c1)NCc1ccc2c(c1)OCO2,518.5861496141956,333.76228158596064,-0.3825253242594112,-0.260232804466357,7.757656171086548,0.0096290682297157,1.32382517721437,0.5017231131765305,6.8820306447717945,23.094007967944343,-0.1006964873107597,-0.0116974587596329,0.00411499582079,-0.0037912314694214,0.5841115218678362,1.2687424270599952,28.72590760086112,0.2799105622662251,0.0104316880243878,0.0076821655236191,0.0090569267740035,0.407991507213332,32.36095305366376,17.489865093518198,-0.4195081856028264,0.0493080138385123,0.0828043502154667,0.0660561820269895,0.6061009469066574,1.2303004833387694,30.59061648324246,-0.1747190885868327,0.0102975876332717,0.0189370177420572,0.0146173026876644
O=C(NCc1cccc2ccccc12)c1ncccn1,475.9179310952471,314.13976317454217,-0.3769393891523783,-0.2885553080291343,7.402497254794903,0.7067564113141069,1.973454033422699,0.5983306027207493,7.680978289314505,27.52744481512068,0.1543295507499692,0.0369263024348158,0.0026187491249617,0.0197725257798888,0.5838725037627195,4.838097165161568,27.47338625744286,0.2634214982170195,0.017971309866069,0.0047158022118805,0.0113435560389748,0.4308935619647276,30.81403894344499,17.873819293604765,-0.4108377013779132,0.070463898060318,0.053214973188226,0.061839435624272,0.5935535819069898,3.3509837486223115,29.150582466994656,-0.1644920362295655,0.0266061548341967,0.0159805373883307,0.0212933461112637
O=C(NCc1ccc(Cl)cc1)c1cc2ccccc2s1,510.57008590149394,339.7935783807308,-0.3896949087024735,-0.2825585078795271,7.621099138445172,0.6877524044070442,1.3669239717153792,0.6311078922837179,5.318123533933032,30.0147998185675,-0.0065288423703143,0.0229743486113464,-0.0001542373135236,0.0114100556489113,0.5879251403497308,4.87811377236286,28.09304671031729,0.2722929077071422,0.0224595764904052,0.0017688923647314,0.0121142344275683,0.4198005997929136,29.638864313320592,18.169158376828687,-0.4377766708635469,0.0767867222245581,0.0540189715024919,0.065402846863525,0.580399747069043,3.951956113614025,28.33343974060112,-0.1723224575372781,0.0299225460778525,0.0180349003630965,0.0239787232204745
Cc1ccc2cccc(NC(=O)Cc3ccc4c(c3)OCO4)c2n1,506.2964207188049,372.5254187111751,-0.3739282526288138,-0.273747006007451,7.2008261911498295,0.3718533686123692,1.774245481500036,0.500024274030821,5.781124404320914,25.10229268452863,-0.1021077374916228,-0.0090071676364974,-0.0043016182725559,-0.0066543929545266,0.5698796472574991,5.116883844363108,27.88547531724576,0.2804226400730518,0.0200004746437682,0.0081708033301361,0.0140856389869522,0.3899874952643007,35.19461664806843,17.3331460086859,-0.4139304503856779,0.0604695980965998,0.0736533382546119,0.0670614681756058,0.6696006152363784,2.782860442052753,31.657616756853017,-0.1531004546651615,0.0102775384159312,0.0280034482103755,0.0191404933131533
Cc1ccc(CC(=O)N2CCOCC2)cc1,411.39941582520936,290.23241745938213,-0.3841488909421752,-0.2271940289630202,7.809402076059653,-1.2245491682182217,1.3839304849585916,0.5398399645918748,5.860136921160908,24.97343982623929,-0.0908457949045887,-0.0150340330337613,-0.0063001577043814,-0.0106670953690713,0.6215640141632501,4.47010444327461,26.87998980374862,0.2688864164511778,0.0446819650378323,0.0077963153681287,0.0262391402029805,0.4031226705180767,33.83870590227014,17.17928593599151,-0.4451954449198745,0.0953584968922949,0.1014644088870921,0.0984114528896935,0.6972721766679091,1.6099829264543817,29.05644417364219,-0.1031080244293325,0.0415686440855636,0.0605983792795681,0.0510835116825658
