can,E,ES_root_dipole,ES_root_electronic_spatial_extent,ES_root_molar_volume,E_scf,E_thermal_correction,E_zpe,G,G_thermal_correction,H,H_thermal_correction,charge,dipole,electronegativity,electronic_spatial_extent,hardness,homo_energy,lumo_energy,molar_mass,molar_volume,number_of_atoms,zero_point_correction,N1_APT_charge,N1_ES_root_Mulliken_charge,N1_ES_root_NPA_Rydberg,N1_ES_root_NPA_charge,N1_ES_root_NPA_core,N1_ES_root_NPA_total,N1_ES_root_NPA_valence,N1_Mulliken_charge,N1_NMR_anisotropy,N1_NMR_shift,N1_NPA_Rydberg,N1_NPA_charge,N1_NPA_core,N1_NPA_total,N1_NPA_valence,N1_VBur
CC1COCCN1,-326.435139,2.021,749.13885,1052.755,-326.599472698,0.170307,-326.441938,-326.472744,0.132702,-326.434195,0.171252,0.0,0.94325,0.07934,717.54025,0.1422,-0.22154,0.06286,101.148,931.5745,18.0,0.163508,-0.5434835,0.0037215,0.01703,-0.33539,1.99916,7.33539,5.3192,-0.291682,62.722,233.53365000000002,0.01594,-0.7118,1.99938,7.7118,5.69648,0.5604940213971051
CCCCN1CCNCC1,-424.2632136607157,2.968329687591443,2280.1564535130956,1418.976606557868,-424.53029070224494,0.2724527351858774,-424.2739735445571,-424.3109422508532,0.22472318550935444,-424.26226868061923,0.273396755085757,0.0,1.4686994725120504,0.07399415361189919,2287.7775716826577,0.13854174492068455,-0.21253589853258378,0.0645475913087854,142.2436,1174.3440523459287,28.0,0.2616918911442347,-0.5385804106230554,-0.0593968298999953,0.015197844659666443,-0.4170715953850867,1.9992213060741995,7.417071595385087,5.402642656837811,-0.30460683708181757,67.91583909285332,230.18637268763456,0.015239711874651037,-0.7110614870748739,1.999399011473574,7.711061487074873,5.696432558150396,0.5128951922875671
CCCNC,-213.30311799152696,3.243661343498482,614.9109811422061,853.7212039265792,-213.45739289641693,0.1567262776622786,-213.30988113418343,-213.3398512275445,0.11999312595056723,-213.30217399152693,0.1576702776622786,0.0,0.9180037625317734,0.07839338530838617,604.3295524057933,0.14339474747055103,-0.22178813277893722,0.06500136216216487,73.1376,863.213073522833,16.0,0.14996321931162038,-0.5833281143359118,0.054714586500301275,0.015814331993531605,-0.23732522735043077,1.9991233722337725,7.237325227350431,5.222386680064684,-0.3398437203604008,40.49525133743411,233.952493580022,0.014332036220835346,-0.7146983623007306,1.9993508430584432,7.714698362300731,5.701016326079896,0.5193716895479005
CCNC(C)C,-252.533997,2.1535,859.4434,1007.177,-252.71774807,0.185891,-252.542091,-252.57408,0.145808,-252.533053,0.186835,0.0,0.8912,0.07973,847.9982,0.14356,-0.22329,0.06383,87.1644,1007.177,19.0,0.177797,-0.605128,0.042725,0.01466,-0.23845,1.9991,7.23845,5.22468,-0.308844,54.5978,199.2293,0.01563,-0.72819,1.99931,7.72819,5.71325,0.5891283826305853
CCNc1cccc(C)c1,-404.71134002521063,4.703911127489909,1895.7432123459337,1425.276124418201,-404.92009910694696,0.21218993828246605,-404.72177680680113,-404.7587450940258,0.16478487297685868,-404.71039535817437,0.21313427124619255,0.0,1.5986495657904234,0.0961747603641801,1907.8035982946203,0.10172258508321216,-0.19789734544739226,0.005547824719032077,135.2084,1488.67334250297,23.0,0.201752489655631,-0.8126663942307293,-0.13266530407805166,0.010853438586157328,-0.4608029792479702,1.9991466592745297,7.46080297924797,5.450799586845643,-0.23258847084214657,82.02221526842786,186.6230487206299,0.01169322058621778,-0.6493624892754238,1.9991566592745298,7.649362489275424,5.638515985235772,0.5539928111359225
CCNc1ccccc1,-365.48253812631447,4.843634057527105,1448.0755703337254,1166.0650492384088,-365.662192523567,0.18309419521900125,-365.4910373760697,-365.52443250620513,0.14120027274451405,-365.48159412631446,0.18403873780276356,0.0,1.7559013389325209,0.09853373685541436,1465.9293184163835,0.10180455979409342,-0.20033829664950778,0.003270822938679044,121.1816,1255.5936726610944,20.0,0.17459494546374082,-0.8019420777142428,-0.12443975444413033,0.010842775128691615,-0.4504470429784141,1.999150851675246,7.450447042978414,5.440457990336853,-0.22846393043166557,73.43461970068512,186.7253761519027,0.01178245934254521,-0.6489906028357257,1.999160851675246,7.648990602835725,5.6380518659803105,0.5529093557816438
CCOC(=O)c1cccc(N)c1,-553.7607506813006,6.423580095264521,2661.1506110452146,1555.8939451084323,-553.9579511459938,0.20089319655640883,-553.7721990021683,-553.810077890029,0.1515662491943458,-553.7598060992577,0.2018377785992459,0.0,2.0311218252062706,0.1283856514677325,2670.6391012586523,0.0883225592776203,-0.2167082107453528,-0.040063092190112205,165.1914,1548.2952668930188,23.0,0.18944513430017793,-0.7088238290102082,-0.017145412565848214,0.009941593456008625,-0.6081548011366569,1.99926,7.608154801136656,5.598953207680648,-0.13787615083800803,79.02735525719424,200.24217989192397,0.011443167060290207,-0.8129692071602497,1.9992999999999999,7.81296920716025,5.802234446643951,0.37531515729459913
CCOc1cc(N)ccn1,-456.62567540471525,2.954655507084355,1763.4354081444671,1311.5347767889193,-456.79633514810956,0.17662437368563477,-456.635237285189,-456.6699336943964,0.132366084004493,-456.62473140471525,0.1775688525056802,0.0,2.5754307134359546,0.1156052117995456,1772.7515281684132,0.11565720118454985,-0.23126241298409544,5.198938500426733e-05,138.1688,1397.02679822935,20.0,0.16706249321181482,-0.7317674383911559,-0.07433269408133472,0.011757458405452994,-0.7097738358530529,1.99927,7.709773835853053,5.6987463774476,-0.1280349840775064,76.59405377176995,197.49940194991197,0.010650847198182337,-0.8024422843736438,1.99927,7.802442284373644,5.792526648975007,0.37454234586859847
CCc1cccc(N)c1,-365.49243855033205,3.5486867547261944,1358.721990127728,1316.980824504079,-365.6732114259346,0.18275301059621904,-365.5011760423848,-365.5349010264905,0.1402905344377119,-365.49149405298107,0.183697010596219,0.0,1.5491547646641066,0.10131756622636903,1359.0682417169555,0.10496756622636902,-0.20628513245273805,0.0036499999999999996,121.1816,1095.31101384115,20.0,0.17401551854338332,-0.6989535752618206,-0.04273650399175445,0.010494973509452388,-0.6459310066408092,1.9992699999999999,7.645931006640809,5.636166033131357,-0.1429321020067806,80.87359038173003,200.60449357513357,0.01149,-0.8151001589432856,1.9992999999999999,7.815100158943285,5.804310158943285,0.37523349680167295
CNOC,-209.897008,2.6117,341.8687,740.692,-209.9962744435,0.10196,-209.902458,-209.930442,0.068525,-209.896064,0.102904,0.0,0.533,0.08379,334.24800000000005,0.15699,-0.24078,0.0732,61.0834,526.5855,11.0,0.096509,-0.12622,0.306427,0.02405,0.04128,1.99922,6.95872,4.93545,-0.138854,193.452,130.4961,0.0205,-0.39353,1.99942,7.39353,5.37361,0.4566551290119572
