can,E,ES_root_dipole,ES_root_electronic_spatial_extent,ES_root_molar_volume,E_scf,E_thermal_correction,E_zpe,G,G_thermal_correction,H,H_thermal_correction,charge,dipole,electronegativity,electronic_spatial_extent,hardness,homo_energy,lumo_energy,molar_mass,molar_volume,number_of_atoms,zero_point_correction,C1_APT_charge,C1_ES_root_Mulliken_charge,C1_ES_root_NPA_Rydberg,C1_ES_root_NPA_charge,C1_ES_root_NPA_core,C1_ES_root_NPA_total,C1_ES_root_NPA_valence,C1_Mulliken_charge,C1_NMR_anisotropy,C1_NMR_shift,C1_NPA_Rydberg,C1_NPA_charge,C1_NPA_core,C1_NPA_total,C1_NPA_valence,C1_VBur,C2_APT_charge,C2_ES_root_Mulliken_charge,C2_ES_root_NPA_Rydberg,C2_ES_root_NPA_charge,C2_ES_root_NPA_core,C2_ES_root_NPA_total,C2_ES_root_NPA_valence,C2_Mulliken_charge,C2_NMR_anisotropy,C2_NMR_shift,C2_NPA_Rydberg,C2_NPA_charge,C2_NPA_core,C2_NPA_total,C2_NPA_valence,C2_VBur,O1_APT_charge,O1_ES_root_Mulliken_charge,O1_ES_root_NPA_Rydberg,O1_ES_root_NPA_charge,O1_ES_root_NPA_core,O1_ES_root_NPA_total,O1_ES_root_NPA_valence,O1_Mulliken_charge,O1_NMR_anisotropy,O1_NMR_shift,O1_NPA_Rydberg,O1_NPA_charge,O1_NPA_core,O1_NPA_total,O1_NPA_valence,O1_VBur,N1_APT_charge,N1_ES_root_Mulliken_charge,N1_ES_root_NPA_Rydberg,N1_ES_root_NPA_charge,N1_ES_root_NPA_core,N1_ES_root_NPA_total,N1_ES_root_NPA_valence,N1_Mulliken_charge,N1_NMR_anisotropy,N1_NMR_shift,N1_NPA_Rydberg,N1_NPA_charge,N1_NPA_core,N1_NPA_total,N1_NPA_valence,N1_VBur
C#CC(C)(C)NC(=O)C(C)(C)c1ccccc1,-711.5617538687313,2.1029010901276295,4174.842002629516,2383.9954113614085,-711.8817447464708,0.3242634352727856,-711.5792479681177,-711.6246646007485,0.2613536322776605,-711.5608098687312,0.3252074355835595,0.0,2.7266365358381592,0.13304761447344268,4306.627992801774,0.11498166667589993,-0.2480292811493426,-0.018065947797542774,229.3212,2186.2844707387158,36.0,0.30676940214134907,0.0010391348126622638,-0.36829184822978295,0.01879084084130852,-0.1464287193663707,1.9988199999999998,6.146428719366371,4.128817875417323,-0.3644244950253353,22.040873967645048,145.2038079441192,0.018266144023755863,-0.15528161196644738,1.9988199999999998,6.155281611966448,4.138204095613238,0.7966205549140949,0.9990075192772085,0.1918074292546691,0.05871737220148514,0.7414962707003546,1.9990900062154782,5.258503729299646,3.2006963005449025,0.1814806053624629,115.79841929308532,22.469123631033945,0.058456279892123625,0.7400396249456508,1.999120712887486,5.259960375054349,3.2023834326125193,0.7308989356165101,-0.7668365486603357,-0.2226998785828176,0.009556118201754584,-0.5592856345493276,1.9997200503377794,8.559285634549328,6.550019412564274,-0.2738375250813644,633.0601690237281,-50.26464094190094,0.009588877266038055,-0.6485811503878193,1.9997193374502933,8.64858115038782,6.639281610572074,0.5349612420820165,-0.8027638462829698,-0.15736858428051595,0.013457354790227995,-0.6536859436198885,1.9991007191029644,7.653685943619889,5.641119242056149,-0.17722486517973796,78.12529110097316,132.26042394246738,0.013846702153897997,-0.6806098523608293,1.9991006625497065,7.680609852360829,5.667662484549485,0.7195977993657308
C#CC(C)(C)NC(=O)C(c1ccccc1)c1ccccc1,-863.7241563021747,2.3751295186370087,6142.366700800266,1969.7053686106378,-864.0706131374665,0.3516152108737348,-863.7436123572822,-863.7935929612677,0.2821787562724231,-863.7232123021747,0.3525593886622636,0.0,3.1157795532789634,0.13587350229122036,6355.315821711368,0.11211676571003532,-0.24799026800125568,-0.02375673658118506,277.3652,2446.0858688667267,40.0,0.332159226155692,-0.024770707845413624,0.04354204092526816,0.025266267048696632,-0.33229153479261875,1.9988800000000002,6.332291534792619,4.308145452908986,0.05088497046454632,16.988773644028992,131.29554464911746,0.024666197145546007,-0.3546104179111239,1.9988886616877515,6.3546104179111245,4.331055638234014,0.7310823069400139,1.0388019301455684,0.1451567783188269,0.05445230440071584,0.7015287767801965,1.9991546743234925,5.298471223219804,3.2448622005204366,0.1430662375418369,110.5590118284949,29.35901157568296,0.05519625433458329,0.7425877100882208,1.9991817071127391,5.25741228991178,3.2030335182070235,0.7004459286852894,-0.777744569951581,-0.1814141200804401,0.010283512488571128,-0.487951968949645,1.9997184747540664,8.487951968949645,6.477950949334863,-0.26294940126624355,622.356761314514,-61.10340714455765,0.009824518488425409,-0.6361701261405492,1.99971088941362,8.63617012614055,6.626634719180457,0.5048443709605137,-0.8137336827650743,-0.1732447031592905,0.0129937815281722,-0.6582420640623463,1.999111627014601,7.658242064062347,5.646137811023065,-0.1926788773794164,84.64693519825289,125.4493868933464,0.013479906154968312,-0.6840465267302407,1.9991119967570434,7.684046526730241,5.671462581611691,0.7243713320331424
C#CC(C)(C)NC(=O)C1c2ccccc2Oc2ccccc21,-937.6597002785439,2.611506162706319,6183.457968201546,2753.009550615257,-937.9879554376402,0.33436259500330956,-937.6787183621087,-937.7274425402616,0.2666203738218967,-937.6587562785438,0.33530659500330956,0.0,2.4490964486792643,0.1285079484851336,6160.0392254048065,0.09782169092563466,-0.22632963941076828,-0.030686257559498966,291.3488,2752.0412984633626,39.0,0.31534551030681124,-0.023871401020503974,0.06799218288800639,0.02367151959726964,-0.3419394996708451,1.998929583322346,6.341939499670845,4.319328813428884,0.07851054700155495,28.27731827072962,143.89346236984937,0.023329727351331788,-0.35013542099588,1.998929583322346,6.35013542099588,4.327876515683446,0.7094495473574232,1.0057608234709623,0.18338225939768424,0.05568686964313264,0.7392470682612334,1.9991795946387572,5.260752931738766,3.2058956454179794,0.17898989301515683,109.28086779716021,28.251201134554748,0.05370881979143018,0.7517686459792761,1.9991900113164114,5.2482313540207235,3.1953325229128824,0.6890835885155882,-0.7562501634558499,-0.23599784393947176,0.010197794424468243,-0.5821689093810248,1.9997195833223458,8.582168909381025,6.572251531634211,-0.26516211420221264,605.3037622831534,-54.42735605733191,0.010022669548395065,-0.6324422443873113,1.9997195833223458,8.632442244387311,6.6227095748389155,0.5109509487344852,-0.7902075513281138,-0.16955722134901524,0.013226520783916267,-0.6678725622217759,1.9991096059551683,7.667872562221777,5.655536435482691,-0.17837890332757209,81.77725476374611,127.47845078504247,0.013358479164264142,-0.6786995772133434,1.9991096059551683,7.678699577213344,5.66623149209391,0.7066295749872015
C#CC(C)(C)NC(=O)Cc1cc(F)cc(F)c1,-831.3096350867866,2.0242396103833,4580.225810864541,2219.7355012206044,-831.5556150931968,0.25052881325304904,-831.3261755933744,-831.3726802826213,0.18748271487965806,-831.3086910380817,0.25147281325304904,0.0,2.4997318578649352,0.1467183967517537,4961.618841679772,0.11105506710496328,-0.25777346385671696,-0.03566332964679042,237.24859999999998,1842.2059785961762,29.999999999999996,0.2339874528830216,-0.10088202054424508,0.09503425263196061,0.01889419320158401,-0.5274163341679005,1.9990399999999995,6.527416334167899,4.509477628272681,0.08629045126069353,35.64312202901057,148.3222984711805,0.01901025387267745,-0.5400151764191284,1.9990299999999999,6.540015176419128,4.521974435498267,0.5602291947840015,1.1322886438654187,0.11461502830994688,0.048732477151625556,0.7249861141577953,1.9992109746127318,5.275013885842203,3.2270704335614813,0.11135836135652816,103.89933347701344,32.69972755583974,0.04915417250441261,0.7353845793860478,1.999220974612732,5.264615420613951,3.216235273238624,0.6246138174716378,-0.8433457356253006,-0.2390216944100542,0.010141441480109611,-0.5684433568231688,1.9997199999999997,8.568443356823167,6.5585819153430585,-0.28543016696666507,616.2897017799719,-52.570448884233855,0.010062669965519315,-0.6459373550442973,1.9997199999999997,8.645937355044296,6.636154685078777,0.45900408182428165,-0.8124688721617181,-0.16755919875824052,0.012839787005300089,-0.6447164710805869,1.9991119492254643,7.644716471080585,5.632760222156188,-0.1907957178984452,78.5173185637048,127.39164604805697,0.013103197891680364,-0.6798102503851304,1.9991119492254643,7.679810250385129,5.6675865649289,0.6862558407011636
C#CC(C)(C)NC(=O)Cc1ccc(C(F)(F)F)cc1,-969.6611840770274,11.647363472502413,6430.481618260736,2179.5029755012656,-969.9294144784027,0.27386290446825023,-969.6797047060074,-969.7309754250415,0.20407155610272354,-969.6602400105294,0.2748069044682502,0.0,2.3854080833145925,0.15212360275164566,6885.162982456953,0.10572429559043045,-0.2578478983420761,-0.04639930716121518,269.2659,2182.4476291791343,33.0,0.25534227548818533,-0.10627131739298909,0.11456019579794016,0.016485318140038355,-0.4688378920851879,1.999027245727226,6.468837892085189,4.453323955864386,0.09159471010996455,36.703617643880015,148.41089694512414,0.01898286800760821,-0.5421064696953539,1.999032754272774,6.542106469695353,4.524084928134076,0.5592481639260614,1.1352073193532615,0.1682171260436402,0.042495711305777256,0.7518923359108516,1.999195508545548,5.248107664089149,3.2064164442378233,0.11040583615784483,104.00590949592151,32.30724001809038,0.04902246962697951,0.7365469043198635,1.999222754272774,5.263453095680136,3.2152065453340533,0.623905758843053,-0.8488132547196079,-0.07614993732457791,0.0090962039266908,-0.2924675256605729,1.99973,8.292467525660573,6.283641321733882,-0.28376714598150277,620.7758071368718,-54.487346673916505,0.010095805546062098,-0.6428500241642074,1.99972,8.642850024164208,6.633034218618146,0.4565471183816971,-0.8084885592016484,-0.14772426508979825,0.01122083382541615,-0.6138141200500746,1.999112754272774,7.613814120050074,5.60347848856641,-0.19043252766235463,76.71785364342037,124.84482617941406,0.012994206808657484,-0.6804467484361546,1.999115508545548,7.680446748436155,5.668337033081949,0.6865462573603495
C#CC(C)(C)NC(=O)Cc1ccc([N+](=O)[O-])cc1,-837.3022445671011,3.1438864614346693,6011.292113978514,1697.5636136552473,-837.5663050044243,0.27072239878940624,-837.3196413722131,-837.3680952761262,0.2048715718910224,-837.3013005671011,0.2716667662424159,0.0,5.508253823229168,0.1798361727319873,6588.2811831876115,0.0882436589987757,-0.268079831730763,-0.09159251373321162,246.2652,1971.7183914516265,32.0,0.25332571242819424,-0.14314434834618778,0.10364895106152583,0.017164634562666536,-0.5308523393143766,1.9990323662421017,6.530852339314377,4.514655053811905,0.10073013123732592,24.740949895173664,147.30545471236485,0.0173361447482267,-0.5367815105105102,1.9990226548313923,6.53678151051051,4.520422710930891,0.5635598967379645,1.0943459726699378,0.11128568782235307,0.0508675723242871,0.7361488065936465,1.9992073873155956,5.263851193406353,3.213775046257586,0.10867650018796876,106.31695954725318,31.99714341957155,0.051023326717096765,0.734529542554953,1.9992147324842031,5.265470457445048,3.2152300320016454,0.6398105325122463,-0.7815053952870001,-0.27408549542613736,0.009946035102741412,-0.6324655860338343,1.99972,8.632465586033835,6.622803510158894,-0.2777526352565773,606.9787809767058,-58.32090629761752,0.009948936376436625,-0.6410809382557023,1.99972,8.641080938255701,6.631412001879266,0.4943358138081526,-0.810877025834972,-0.17961639069295954,0.013702969700750637,-0.6725466732868733,1.9991150210734938,7.672546673286874,5.659728393923339,-0.18053431919567167,105.78336931512789,129.74519320566685,0.013785273469288652,-0.6732235084590563,1.9991150210734938,7.673223508459056,5.660323213916274,0.6613804922452179
C#CC(C)(C)NC(=O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,-1090.0213509664386,4.045453473796842,10408.486102235025,2790.6333626259,-1090.3869472917195,0.37649278085166055,-1090.043370179998,-1090.0970369025117,0.3008068447787098,-1090.0204069298152,0.37743678085166055,0.0,2.59837638553382,0.1618429026358257,12154.740949439369,0.07892571933941257,-0.24076862197523827,-0.08291718329641312,333.386,2504.1295247639473,44.0,0.3544737287217272,-0.06589073038062969,0.09994164682151763,0.01848947224858911,-0.5346631367836715,1.999039591553958,6.534663136783672,4.517132087577397,0.10149505501371942,33.4722650943196,149.0732339079309,0.018607167572182358,-0.5378770475437331,1.99904,6.537877047543733,4.520230240275733,0.5582335656018962,1.1281891789066623,0.11074730191050482,0.04914700039937396,0.7369586823793572,1.9992212917264096,5.263041317620643,3.2146733435878456,0.10751484114657417,107.13636677283662,31.334002114202068,0.04937943688598358,0.735245730017759,1.9992216579612552,5.264754269982241,3.2161476445187436,0.6253694308095894,-0.8660689730183508,-0.27720421998950073,0.009983431904298795,-0.6337031334008907,1.9997199577888036,8.633703133400891,6.6239963189560624,-0.2856520678796629,621.3180629226717,-55.47166382876636,0.0099948064906266,-0.647766714394636,1.9997199577888036,8.647766714394635,6.638047266498781,0.4581057191734975,-0.8145518151883255,-0.1895411266857311,0.013066468829785544,-0.6791427753943482,1.9991130400407204,7.679142775394348,5.666958391326959,-0.19153071123865584,79.29030525331626,127.88469122715222,0.013124120538381072,-0.6818659665828207,1.9991130400407204,7.681865966582821,5.66962631267422,0.6874815447094713
C#CC(C)(C)NC(=O)c1cc(F)ccc1C,-732.21105918653,5.304748634578924,4296.02928315528,1630.17817593945,-732.4652831070431,0.25750028190454116,-732.2269974415336,-732.2703078432897,0.19825234967928054,-732.2101151725836,0.25844428190454116,0.0,2.3305683135377158,0.14827140001649258,4297.559171964357,0.1061098082230789,-0.2543812082395715,-0.042161591793413646,219.2581,1888.134968563702,29.999999999999996,0.24156201295463808,-0.1328619456462673,-0.07546908383432986,0.018986146660567634,-0.19176689320619406,1.998759860537008,6.191766893206194,4.174029965672494,-0.05167346573826307,156.81606432148908,57.17073614299733,0.018297342218887,-0.12233125223901785,1.9987898605370078,6.122331252239017,4.105245521552181,0.6825968555462057,1.171819921712917,0.17364832525959728,0.0442284889462216,0.5946318906826354,1.9991220073216798,5.405368109317365,3.362018539500632,0.19809802307053692,104.30270988635333,30.95824561427793,0.04930051201397897,0.7164696548946962,1.9991502227877067,5.283530345105303,3.235086995110728,0.6633127780931146,-0.7905903575249884,-0.08540385297194591,0.009970692906878287,-0.27576822085672237,1.999748026217251,8.275768220856722,6.266056809330032,-0.2772188892599191,663.4339847354925,-68.39896124398688,0.009560100132529474,-0.6357562131702928,1.99973,8.635756213170295,6.626466035828092,0.5288496903847579,-0.8341725278092178,-0.1814067677978307,0.013069054119502965,-0.6480147681181457,1.9991521467846718,7.648014768118146,5.635803350541309,-0.19884984508162948,100.57893689533356,130.21980309795285,0.013793706317041054,-0.6726534900039512,1.999150362250699,7.672653490003952,5.659710252095129,0.6681771799464995
C#CC(C)(C)NC(=O)c1ccc(OCCCC)cc1,-825.8799688512414,2.87650996502281,9596.17199916502,2345.792946612098,-826.2355894260422,0.360365968601093,-825.9000329967911,-825.9501309211323,0.2902033682961822,-825.8790244600941,0.36130996860109293,0.0,3.084329509620904,0.13333444070484543,9694.906849947038,0.10410255714213104,-0.23743699784697647,-0.029231883562714382,259.3474,2436.9152091707174,40.0,0.3403013290594208,-0.39102533660585725,-0.06403998800836412,0.01840170474353711,-0.20705724989097984,1.99879,6.20705724989098,4.189865283204067,-0.07047274716334688,155.15709283784147,67.57449410510539,0.017987497123277556,-0.17542452880230547,1.9988102447550975,6.1754245288023055,4.1586270316790275,0.6455886934656,1.3310392383199896,0.20173548636941113,0.042769241636183036,0.5722294331958445,1.9991202214213173,5.427770566804155,3.3858811122598076,0.22482717559659973,102.19482921184148,34.222569725481016,0.0488690906550617,0.7142251005677624,1.999140466176415,5.285774899432237,3.2377645361154617,0.6290875146560507,-0.84675113742788,-0.10470825652623744,0.009858978653829582,-0.2934328392221949,1.99975,8.293432839222195,6.283819949094484,-0.2856707777489026,621.4104895646565,-38.55626617454942,0.009146746504168605,-0.6510854774112947,1.99974,8.651085477411295,6.642206358950493,0.4929240374806109,-0.8947488971287599,-0.19699816004123558,0.01272457172025988,-0.6565230951010285,1.99915,7.656523095101028,5.644647044225257,-0.207292917294838,95.19693500245248,141.73292195060935,0.013220919839834488,-0.6728782292947777,1.999140466176415,7.672878229294778,5.660516843278528,0.6589840611233482
C#CC(C)(C)NC(=O)c1ccc2nccnc2c1,-779.2898215009441,3.6829528815552006,5930.927963719418,2052.1105527039053,-779.5420428720455,0.2614915520980388,-779.3055939355221,-779.349240729415,0.20207232362707184,-779.2888774403107,0.2624355520980388,0.0,2.751021773662088,0.17514136199706543,5929.980251091844,0.08800175066818162,-0.26314311266524704,-0.08713961132888381,239.27620000000002,2045.9891997563004,31.000000000000004,0.24571854107727964,-0.1782178088974951,-0.06023380713795378,0.01850569651785114,-0.14766942967827915,1.9988400000000002,6.147669429678279,4.13031783837214,-0.05385563101146991,166.02618855030997,57.4972056527222,0.01809580746571375,-0.1299070495917573,1.9988366184526893,6.129907049591758,4.112974623673354,0.6469782053928402,1.246370789812012,0.22017225241212118,0.04912471639788845,0.7106996669353065,1.9991502476926866,5.289300333064694,3.241022104757973,0.22769211088628422,101.79231233361924,34.051920723674066,0.048948593594323804,0.7133295455505747,1.9991442355732332,5.2866704544494265,3.2385799181409274,0.6301578352867729,-0.8273393917266063,-0.28085152530174284,0.00929077384211945,-0.6446242123922198,1.9997360121194538,8.64462421239222,6.635599815693407,-0.2741242327475792,638.8542394072597,-53.01328317173105,0.009273763054811274,-0.6376341526395488,1.9997396349761485,8.63763415263955,6.628623771132049,0.49270729639838173,-0.876945356532318,-0.2028244733616988,0.013310118656493255,-0.6720152400742342,1.9991412190497737,7.672015240074234,5.659567504297198,-0.20112275293286785,98.01487567310801,136.95725016576307,0.013323506850858058,-0.6676334170201683,1.9991444832659195,7.667633417020169,5.655169180121607,0.6600895446013475
