,SASA,Volume,HOMO,LUMO,IP,EA,Dipole,N_1_BV,N_1_SASA,N_1_P_int,N_1_charge,N_1_electrophilicity,N_1_nucleophilicity,N_1_radicalFukui
Nc1ccc2scnc2c1,301.40107549506405,172.62144983121556,-0.3641114424685452,-0.2610915808752102,7.701975560776473,-0.4723291394649251,1.177279936139634,0.294236861721953,20.939777937860168,17.661276098869962,-0.2736965852576461,0.0273838119488823,0.0987820648560832,0.0630829384024828
CSc1cccc(N)c1,311.7688269048863,182.25136055709817,-0.3498432737220115,-0.2161812786191209,7.275366269239025,-1.7452648676195075,0.9834305844082984,0.2934517863266125,21.043546230052584,17.894238707916923,-0.2777178419176355,0.027892683349346,0.0676758301623126,0.0477842567558293
Cc1ccc2cccc(N)c2n1,340.082036799104,205.78539867067911,-0.3488815987940146,-0.2545975064497709,7.28542415655884,-0.5453255629789346,0.4275409907560047,0.3286258386134923,20.769779740656897,19.063981054809634,-0.2619274920680258,0.0355050588100118,0.0863472766575885,0.0609261677338002
CCCCN1CCNCC1,353.6421529669869,229.6878382661011,-0.3447426748621668,0.0150746695392075,7.4426062371007236,-7.824883173171281,0.6725813258374409,0.6228032143108704,1.537165275633107,27.63126157880161,-0.1863617046759203,0.1183158622947479,0.140168604494267,0.1292422333945075
CNc1ccc(OC)cc1,326.2666334497586,191.39313608102748,-0.3380802755108418,-0.2100595332441888,7.058605912147323,-2.239337785839694,0.8528133792702265,0.4379912983367126,9.15734447650856,20.99281719551941,-0.1916980488854813,0.0381689544241572,0.1189243613645034,0.0785466578943303
Nc1ccc(Cl)cc1,280.06109390331306,151.5022382383527,-0.3643681281857075,-0.2286243345691555,7.807028463801156,-1.660315843937239,1.58469818296472,0.2934506615728662,20.829779104375696,17.684623687066505,-0.2719023305852526,0.0361815898195083,0.1047663834327911,0.0704739866261497
NCc1ccc(Br)cc1,315.54251737929576,184.7935239644297,-0.3802510396326093,-0.2491127107223281,8.29413682559573,-0.9509057669149664,1.1306533366570035,0.2804628442634683,22.22672478943111,14.816700795860587,-0.3336911538290651,0.0235086400756588,0.1392914777878705,0.0814000589317647
C[C@@H](N)c1ccccc1,306.4783405654005,180.59889303042945,-0.3641347777805571,-0.2176116837904203,8.14057780990073,-1.9654777982929013,0.5537746697732486,0.3446259525851629,15.640162832673504,17.961650595254078,-0.3426582031155792,0.0026170065304334,0.1298959334389112,0.0662564699846723
COC(=O)c1cc(F)ccc1N,334.37932291558946,190.5538533591978,-0.3732603602282235,-0.2735699456074981,8.166917235186528,-0.1682289950409683,0.9610219041627064,0.3717096068168742,19.24979585704783,20.185541630846387,-0.2493331284717772,0.0348584978885321,0.1055585960748847,0.0702085469817084
CSc1ccc(N)cc1,311.993775628438,182.3773805416806,-0.340418644598863,-0.2174416277354172,6.9794177886851125,-1.711405510302255,1.2382555287435877,0.2926804765334818,21.122275914383387,17.669867480749225,-0.2797240532204437,0.0303259937296537,0.0800326046790263,0.05517929920434
CCc1cccc(N)c1,309.81202926943905,180.5112913343171,-0.352361049410939,-0.2061287618851165,7.737740423907108,-2.283070673534144,0.6949960488576344,0.2928706254940196,21.105327044305763,17.750313329505953,-0.2820205574126907,0.0330397030264242,0.1142507062664,0.0736452046464121
CCNc1cccc(C)c1,338.50099650519445,204.1597552846111,-0.3435477419062097,-0.20249600550938,7.346840615741462,-2.3432473407088867,0.733444704818494,0.4968635792930608,8.048911206921643,22.08949601322886,-0.1959984092267443,0.0387635393195611,0.1288336005749568,0.0837985699472589
C#CC(C)(C)N,262.01278407147674,138.96986576217384,-0.3668033988442876,-0.1526922005346951,8.844301175534765,-4.85551552697069,0.3327321724677337,0.3655939175051829,16.30409398491091,16.775798139038752,-0.3392172171135493,0.0572981454897797,0.1702880358951785,0.1137930906924791
NCc1ccco1,260.3303862797339,132.62408068383934,-0.3707399455689857,-0.2085399019173551,8.425957918549678,-2.615215766208786,0.4773281518334999,0.2726512998543757,20.95477777847693,15.946902969769456,-0.3392447997099717,0.0182741562514822,0.1428983767551462,0.0805862665033142
