,SASA,Volume,HOMO,LUMO,IP,EA,Dipole,O_1_BV,O_1_SASA,O_1_P_int,O_1_charge,O_1_electrophilicity,O_1_nucleophilicity,O_1_radicalFukui,C_1_BV,C_1_SASA,C_1_P_int,C_1_charge,C_1_electrophilicity,C_1_nucleophilicity,C_1_radicalFukui,O_2_BV,O_2_SASA,O_2_P_int,O_2_charge,O_2_electrophilicity,O_2_nucleophilicity,O_2_radicalFukui,C_2_BV,C_2_SASA,C_2_P_int,C_2_charge,C_2_electrophilicity,C_2_nucleophilicity,C_2_radicalFukui
O=C(O)Cc1ccc(C(F)(F)F)cc1,366.3642244131492,209.3693658197776,-0.4289118591262291,-0.2635449032447214,9.476322308423864,-0.3955547782361009,2.280648005672522,0.3769229873257652,37.94054903675887,16.539215787408768,-0.3973894214401491,0.0959144163280676,0.1311372031276201,0.1135258097278438,0.465895219898027,6.986163230675373,22.47733214202005,0.3666203674011786,0.0528697805727142,0.0224634171943923,0.0376665988835532,0.2908195117467508,33.40072265338449,14.73054803928686,-0.3765746834101826,0.0604106217107991,0.0693404411457971,0.0648755314282981,0.4938920984050623,5.036117667581133,24.249550097380087,-0.0977799044991223,-0.0192740339012878,0.0072728325507452,-0.0060006006752712
O=C(O)COc1ccccc1,324.37931645988965,183.9421823607953,-0.3809320239711072,-0.2502938470456785,8.321526958526185,-1.0658520403275575,1.043347168845414,0.3896376389114849,37.58381596263693,16.292393255530367,-0.3777168695334458,0.1435882125694368,0.073331944295748,0.1084600784325924,0.4833348332733611,4.785285551087783,21.329233882772748,0.3540098527446748,0.0806172119251839,0.0109288939270028,0.0457730529260933,0.3077029961805898,32.016605854235,15.136928182907432,-0.3828626068471827,0.0782374841107592,0.0467500024738741,0.0624937432923166,0.4625297518264223,6.091747198065621,21.1766644972083,0.0532702116311341,-0.0212553746600701,-0.0166362970181621,-0.0189458358391161
CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,475.9391804129995,323.99731403789457,-0.389023646284667,-0.2501244254359137,7.862815383331929,-0.2856518508102125,0.9957172437952098,0.3909813635342857,34.78825970714404,15.97607706438392,-0.408417037629559,0.0963561458159779,0.0784987124832917,0.0874274291496348,0.5280939508274315,3.852355485718152,24.05757089752286,0.3630536875064838,0.0461204288367869,0.0111853039407241,0.0286528663887555,0.3359806240495097,30.21762402281164,17.317276521168196,-0.3803317214621828,0.0476436273943237,0.0328501114665959,0.0402468694304598,0.6154874846206557,0.1840298697727997,30.69742101247077,-0.042845471059233,-0.0028450485202343,0.0089273213785666,0.0030411364291661
O=C(O)C1CCN(C(=O)OCc2ccccc2)CC1,469.7270467989206,324.12972773092264,-0.3862489816047593,-0.2456205438554977,7.930027887944846,-0.6272794253995037,1.0837815288126862,0.3913407624687984,34.04151258468499,16.000357080278093,-0.4066741663309104,0.1292467097105064,0.0515298141314237,0.0903882619209651,0.5305289347175133,4.309678347566058,22.91010353700795,0.3601420479581409,0.0750123449161316,0.0016500919881992,0.0383312184521654,0.3474596549576264,25.90549957657271,16.979480006967943,-0.3784734346873876,0.066386539417682,0.0232484301239623,0.0448174847708221,0.6143298171360327,0.1519124325468607,28.770052823094137,-0.042134326360775,-0.0038798902254098,-0.0018600476783765,-0.0028699689518931
O=C(O)c1ncccn1,272.438288169613,136.83313228218736,-0.3832278535610895,-0.3043261915485976,8.915079286227499,0.3935577876234193,1.3326121224312768,0.3187109812903677,45.07327622961927,13.855020087571631,-0.3744894624634005,0.1609252279494948,0.1230464022325574,0.1419858150910261,0.4498346063652907,10.160237226616392,20.43009472137347,0.3526997629103314,0.0580318103802534,0.0129061266088522,0.0354689684945528,0.320909429549828,29.9738536786654,15.511919556178434,-0.3509889459956798,0.0746227126682188,0.0484128367584114,0.0615177747133151,0.5830227354219086,8.075188537404209,24.12865747028029,0.1582911061735943,0.0646167592931994,0.0126890532933322,0.0386529062932658
O=C(O)c1ccc(Br)s1,303.28793368797244,167.19593696926415,-0.4145041301437047,-0.3069943942097507,9.1695714490643,0.8238285996192084,0.7516461008873649,0.3278626933553252,43.27369727422612,14.719503984476187,-0.4105280801041065,0.1361262916039421,0.1247801563430911,0.1304532239735166,0.472169506878732,9.98195772418423,21.88981609566756,0.3570817572461309,0.0463735241442864,0.0099064475928935,0.0281399858685899,0.3386688766549183,27.69105815955234,17.008044031638853,-0.3795557616978768,0.0574132940308398,0.0460219169992468,0.0517176055150433,0.6180766132096034,5.322308023314682,26.945551930935544,-0.0214917770070753,0.0217211210764298,0.0341348536898369,0.0279279873831333
O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,462.7447696332104,306.2951374095837,-0.3897574394956106,-0.2881253796577157,7.924331804702724,0.6396715421942674,0.8827587960967258,0.3485962294805084,40.20099741895478,15.441786104003578,-0.4072749755120418,0.051260328284758,0.0745715794376939,0.0629159538612259,0.4759576293339685,6.46248918446476,22.583452632219643,0.3665485029643727,0.0174293342479977,0.0097502167304485,0.0135897754892231,0.3312590430183516,28.91787796846603,17.513532641684964,-0.3713507552986952,0.0219372360398351,0.0285797378529078,0.0252584869463714,0.4903674062721799,7.776798899779719,23.055995275454805,-0.0948919662400454,-0.0099272735506097,-0.0007072935461614,-0.0053172835483856
O=C(O)Cc1ccc([N+](=O)[O-])cc1,351.73771135582115,200.0638774508794,-0.4354537258850089,-0.3201179302547837,9.426635618135528,0.9813133892621712,2.923866117613698,0.3777065884414454,37.87355775397775,16.588649517103715,-0.3966264601990142,0.0454050356644663,0.120484394786372,0.0829447152254192,0.4662734552448017,6.992659038949014,22.572122464405243,0.3672280143855954,0.024255797678251,0.0191659139111709,0.021710855794711,0.2909508545052476,33.3362269218217,14.790659683864032,-0.3747041021838244,0.0372153985886506,0.0626003023240023,0.0499078504563264,0.4942272243827752,5.025115227691992,24.15818780519905,-0.0979735275820258,-0.0149366833649127,0.0069432263774369,-0.0039967284937379
O=C(O)c1ccccc1Cc1ccccc1,401.44102364052594,265.4488044518824,-0.3906824774337893,-0.2690107742641738,8.122914874223959,-0.1667517976963959,0.6364150502996122,0.442641203538286,27.54580479582141,17.953409900818496,-0.4192271042302312,0.1202947075947167,0.0617127874420306,0.0910037475183736,0.5626672040894478,5.003659100896546,27.139794054523687,0.3580612755886817,0.0487741098252348,0.0037731750599326,0.0262736424425837,0.367256913853536,24.227402846487493,18.285473970290603,-0.3824401437755095,0.0572215146441047,0.0328277544408178,0.0450246345424612,0.6999560223450528,2.98243969539121,30.852372777016,-0.0245696899245389,0.0424679672794054,0.019930590038182,0.0311992786587937
COc1cc(C(=O)O)cc(OC)c1OC,398.7683231309948,251.7374662127333,-0.3763502154038604,-0.2684671117931185,7.864263236904749,-0.2540696820868708,1.052708979214195,0.3317706392098397,41.58840952941534,14.86413517554243,-0.423116275504933,0.1512839213654969,0.0660266099704068,0.1086552656679518,0.4697749720462169,9.91023155097347,22.207608541179678,0.3560889646847768,0.0619466764835985,0.0041597470011794,0.033053211742389,0.32905096906448,27.73893917638811,16.659240980524434,-0.3790932916481853,0.0697913843524942,0.0259171382115293,0.0478542612820118,0.6177844297428252,5.360125238467998,27.13978068237041,-0.0272944577989187,0.0533277293860394,0.0428948320639814,0.0481112807250104
