can,E,ES_root_dipole,ES_root_electronic_spatial_extent,ES_root_molar_volume,E_thermal_correction,dipole,electronegativity,hardness,homo_energy,lumo_energy,molar_mass,molar_volume,C1_APT_charge,C1_ES_root_Mulliken_charge,C1_ES_root_NPA_Rydberg,C1_ES_root_NPA_charge,C1_ES_root_NPA_core,C1_Mulliken_charge,C1_NMR_anisotropy,C1_NMR_shift,C1_NPA_Rydberg,C1_NPA_charge,C1_NPA_core,C1_VBur,I1_APT_charge,I1_ES_root_Mulliken_charge,I1_ES_root_NPA_Rydberg,I1_Mulliken_charge,I1_NMR_anisotropy,I1_NMR_shift,I1_NPA_Rydberg,rate
FC(F)(F)C1=CC=C(I)C(=C1)C#N,-671.71574125,8.4997,3272.5871,1323.20325,0.105309,4.8445,0.17164,0.09973,-0.27137,-0.07191,297.0181,1419.43575,0.493475,-0.457366,0.0255,-0.26,1.99859,-0.404212,130.7165,54.6822,0.02821,-0.19445,1.99865,0.6544996853,-0.161239,0.625355,0.00345,0.255524,28.9351,43.4709,0.00568,2.5819592042318362
COC1=C(N)C=C(I)C=C1,-412.4605960811,16.1730862103,2295.0629918571,1256.888402214,0.1499678598,3.8151840151,0.1187757699,0.0899554396,-0.2087312095,-0.0288203302,249.0508,1137.4759552874,0.531000748,-0.3281221453,0.0318429543,-0.2950936539,1.9988033807,-0.4189463684,78.0248353466,75.6689417877,0.0267638071,-0.2289963129,1.9986433807,0.6261257001,-0.284280674,-0.3791264308,0.0187197004,0.1155412358,28.9640527706,46.1414934715,0.00513,2.583061603753716
FC(F)(F)C1=CC=C(I)C=C1Br,-3150.164692,2.2083,3513.4267,1604.226,0.096278,2.9454,0.15522,0.10886,-0.26408,-0.04636,350.9044,1467.696,0.578173,-0.332115,0.02997,-0.27724,1.99874,-0.396937,114.4518,59.6489,0.02808,-0.21709,1.99865,0.6253933291,-0.232122,0.105352,0.02564,0.195805,30.3006,44.1185,0.0055,2.585185692665537
FC1=CC(I)=CC=C1C(F)(F)F,-678.724878,1.9012,2884.7564,1125.0375,0.097626,2.8667,0.15249,0.11082,-0.26331,-0.04167,289.9988,1328.17,0.587191,-0.330134,0.03007,-0.28231,1.99877,-0.400819,119.6655,59.3106,0.02759,-0.21588,1.99868,0.6266519824,-0.22137,0.063205,0.02728,0.190383,30.1048,44.0916,0.00547,2.5895646538344925
ClC1=C(C=CC(I)=C1)C1=NN=C(Br)S1,-3856.443405,8.0581,7263.846,1986.337,0.1073,4.174,0.16665,0.0865,-0.25315,-0.08015,401.4466,2148.487,0.61189,-0.420155,0.02771,-0.24388,1.99862,-0.398062,114.6426,59.5603,0.02802,-0.21707,1.99865,0.6242920076,-0.278435,0.365379,0.00546,0.197949,29.8425,44.1424,0.0055,2.6002812265279127
FC(F)(F)C1=CC(C=O)=CC(I)=C1,-692.7788576827,3.9975967698,3252.7892759583,1220.9072200494,0.116252499,2.8770843572,0.1732260509,0.0921581729,-0.2653842238,-0.081067878,300.0187,1211.5756081364,0.4068150358,-0.4260582016,0.0281687525,-0.2258380796,1.9986531729,-0.4260234098,111.133407417,62.5211731578,0.0285943322,-0.2335580065,1.99866,0.6263948117,-0.2186585366,0.176363591,0.0054204814,0.1960890564,30.031288635,44.0839904489,0.0054736542,2.600414162123474
COC1=CC(I)=CC(=C1N)N(=O)=O,-616.813538,13.1127497351,3193.2445343704,1426.8391091629,0.155206,5.9805695336,0.15267,0.06647,-0.21914,-0.0862,294.0484,1590.9583874922,0.2152630339,-0.4366980042,0.02881,-0.19989,1.99865,-0.4609670042,76.899902861,82.9229484635,0.02784,-0.2520149947,1.99864,0.6246460455,-0.2264985048,0.2706709936,0.00487,0.1637859989,29.9883497351,45.315200106,0.0054,2.602153180507217
IC1=CC=C(C=C1)C(=O)NC1CCCCC1,-645.6594315968,9.1519657987,7123.3797232418,2357.8272483396,0.2848430223,4.4904136908,0.1487099455,0.1047899753,-0.2534999209,-0.0439199702,329.18,1235.1698421506,0.5462537795,-0.4405669338,0.0261100058,-0.2987398934,1.9986399998,-0.3951650172,103.8631875506,60.9002095408,0.0273099997,-0.2218300306,1.99866,0.6258653923,-0.2814560074,0.091861694,0.005270015,0.1560219957,29.1377004952,44.980400629,0.00531,2.6026945057593998
[H][C@@](CC1=CC(I)=C(O)C(I)=C1)(NC(C)=O)C(O)=O,-803.4626557531,5.5233003475,6444.2953571773,1960.4256714677,0.2311155497,6.5556913951,0.1500219713,0.0926823395,-0.2427043108,-0.0573396318,475.0212,2262.1711878181,0.3402830817,-0.4132035393,0.030121561,-0.272258335,1.9987158734,-0.4834807641,71.8649923106,78.3798448209,0.0271667573,-0.2756210735,1.9986073429,0.6578504304,-0.2207669814,0.0312421086,0.0116102032,0.1898779972,27.0957953621,46.2292539482,0.0055167566,2.6124490524913013
FC(F)(F)OC1=CC=CC=C1I,-654.714156,6.608,2334.8528,1159.69425,0.110174,3.4093,0.14773,0.10971,-0.25744,-0.03802,288.0077,1326.44775,0.322055,-0.356083,0.03076,-0.30929,1.99865,-0.444367,88.6797,69.3737,0.02774,-0.2681,1.99856,0.6708621775,-0.166103,0.035192,0.02665,0.199096,26.3183,45.9043,0.0058,2.6126066043751814
