can,E,ES_root_dipole,ES_root_electronic_spatial_extent,ES_root_molar_volume,E_thermal_correction,dipole,electronegativity,hardness,homo_energy,lumo_energy,molar_mass,molar_volume,C1_APT_charge,C1_ES_root_Mulliken_charge,C1_ES_root_NPA_Rydberg,C1_ES_root_NPA_charge,C1_ES_root_NPA_core,C1_Mulliken_charge,C1_NMR_anisotropy,C1_NMR_shift,C1_NPA_Rydberg,C1_NPA_charge,C1_NPA_core,C1_VBur,I1_APT_charge,I1_ES_root_Mulliken_charge,I1_ES_root_NPA_Rydberg,I1_Mulliken_charge,I1_NMR_anisotropy,I1_NMR_shift,I1_NPA_Rydberg,rate
NC(CC1=CC=C(I)C=C1)C(O)=O,-564.9800052402,8.6122864386,3912.4469294915,1525.6346033292,0.1933175783,4.4850155505,0.1387786515,0.1066220909,-0.2454007424,-0.0321565607,291.088,1543.7967098158,0.4778471231,-0.3094873704,0.0308108293,-0.2592936255,1.9987532971,-0.4005371597,92.2836283736,67.1385229563,0.0269834025,-0.2324170052,1.99864,0.6266911329,-0.2814066011,-0.0880764284,0.0252533878,0.1353765404,29.0664138779,45.5435532066,0.0052379766,1.1205619299633762
OC1=C(I)C=CC(Cl)=C1,-777.405771,4.7349,2156.4339,1117.0,0.09373,2.1946,0.142365,0.101585,-0.24395,-0.04078,254.4545,1256.625,0.221348,-0.363082,0.03103,-0.31197,1.99873,-0.487176,59.5627,82.271,0.02606,-0.31571,1.9986,0.6521397105,-0.224256,-0.15035,0.02062,0.188602,24.0278,48.1735,0.0054,1.1220661458699746
OC1=C(I)C=C(C=O)C=C1I,-441.9508936186,2.8274724533,2223.5445192323,1730.3862294614,0.1044342585,3.172121284,0.1611642582,0.092227097,-0.2533913553,-0.0689371612,373.9164,1530.7095841429,0.2227594882,-0.4928815408,0.0267641101,-0.2895732961,1.9986151271,-0.4932455209,61.3787637222,77.6218448588,0.0271725846,-0.3010130885,1.99861,0.6514057163,-0.2304605185,0.2007488481,0.0053346186,0.2179979585,25.75342741,46.8781484471,0.0053643644,1.1224205583843494
FC1=CC(Cl)=C(I)C(Cl)=C1,-1260.889189,4.7072,2442.7369,1252.1895,0.071968,1.4785,0.158555,0.100875,-0.25943,-0.05768,290.8907,1367.523,-0.000422,-0.299751,0.03087,-0.29284,1.99841,-0.386678,60.954,68.9407,0.03038,-0.30644,1.99835,0.6825047199,-0.059529,0.121865,0.01974,0.260253,26.7018,44.5487,0.0056,1.1278226185663462
COC(=O)CCC1=CC(I)=C(O)C(I)=C1,-634.8935385153,5.7494308864,5082.9242610276,2075.0109853088,0.2005465059,3.0106644414,0.1475521453,0.0919833783,-0.2395355237,-0.055568767,431.9962,2109.5166417447,0.345498989,-0.4075304415,0.0300064868,-0.2887878845,1.9987263927,-0.4845870153,62.3527097821,79.5962659964,0.0267322036,-0.2822860024,1.99861,0.6514570031,-0.2448038453,-0.0317928701,0.0122477325,0.1831004183,26.3767742697,46.9650662788,0.0053750454,1.1356551298733035
OC(=O)C1=C(I)C(Br)=CC=C1,-3001.7779850876,5.6701098704,2965.5681623195,1538.2382462322,0.1056255414,3.6130425965,0.1583308771,0.1014152463,-0.2597461234,-0.0569156309,326.9159,1496.438115998,0.3069141831,-0.356737079,0.0290841419,-0.2575658296,1.998493808,-0.425427675,92.3216931348,60.7649704229,0.0288351539,-0.230851148,1.998446192,0.6947143201,-0.1116082771,0.1357128225,0.0200564398,0.2420527425,27.0874880407,43.5956001393,0.0055693142,1.136706698636124
COC1=CC(=C(I)C=C1)C(F)(F)F,-693.9530946477,12.3861134009,3048.1128697296,1524.8779481929,0.1400355988,5.3907941812,0.1378290416,0.1002035228,-0.2380325644,-0.0376255188,302.0345,1419.7910850928,0.2667408847,-0.3089935881,0.0312559881,-0.2464718772,1.99873,-0.4307706112,93.796943122,79.0682770051,0.027036497,-0.2419572176,1.99859,0.6793894908,-0.1817136702,-0.1353551231,0.021790998,0.1864469959,28.2497733653,45.1402282928,0.00575,1.137606952026521
NC1=CC(F)=C(I)C=C1,-397.231801,15.0856,1695.1716,1095.702,0.107645,5.0483,0.12375,0.0928,-0.21655,-0.03095,237.0151,1339.191,0.027186,-0.400343,0.03221,-0.32272,1.99869,-0.533901,54.2914,97.1001,0.02613,-0.35824,1.99855,0.6413624921,-0.182411,-0.229528,0.02158,0.16251,25.5404,47.8055,0.00601,1.1418083293390804
NC1=C(C(F)=C(I)C=C1)N(=O)=O,-601.572822,11.4968,2513.563,1426.578,0.112706,6.4688,0.159845,0.070395,-0.23024,-0.08945,282.0127,1502.46,-0.160913,-0.529771,0.02841,-0.27267,1.99858,-0.570901,59.06,94.8947,0.02728,-0.36315,1.99858,0.6423064821,-0.128962,0.35338,0.00512,0.20815,26.3703,46.8189,0.00607,1.145253654731467
CON(C)C(=O)C1=C(I)C=C(Cl)C=C1,-1024.3809952321,6.9097978817,3933.0573392351,2030.3131917468,0.1820063534,4.5655172611,0.1497419505,0.1065334313,-0.2562753818,-0.0432085191,325.5331,1758.7784583258,0.485641812,-0.3227579677,0.0300963441,-0.2521743528,1.9986903894,-0.4099695419,107.6553359748,66.036238386,0.0275495506,-0.2009734222,1.99858,0.6980614176,-0.2037649595,0.009017801,0.0234608669,0.1975230282,27.9834097405,44.849851691,0.0054452579,1.145730966479387
FC1=C(I)C(Br)=CC(Br)=C1,-5483.149163,5.234,4001.1896,1216.615,0.071856,1.0067,0.157045,0.100135,-0.25718,-0.05691,379.7927,1406.711,0.051839,-0.44853,0.03068,-0.3328,1.99845,-0.534036,70.1818,74.1017,0.02949,-0.34554,1.99841,0.6747954688,-0.087956,0.129979,0.02016,0.263451,25.8036,45.4295,0.0062,1.1462421857036866
NNC(=O)CNC1=CC=C(I)C=C1,-561.1162884744,15.2785443273,4338.4737296873,1702.9790022953,0.1942159446,3.5564734979,0.120355215,0.0921370032,-0.2124922182,-0.0282182117,291.091,1731.7574237455,0.2569366965,-0.2945281694,0.0319382847,-0.2500004571,1.9987698452,-0.4138993494,69.2245412593,80.9297755435,0.0264617719,-0.2664484709,1.99862,0.6241609614,-0.2790119223,-0.2887917633,0.0213870663,0.1193572521,28.5816324179,46.3891591345,0.0052425113,1.1462976559325169
