,SMILES,LUMO,%VBur2.0,NBOrad,rate
,BrCC1=CC=C(Br)C=C1I,-0.02631,97.67543483,0.22262,1.516
,BrCC1=CC=C(C=C1I)C#N,-0.05344,97.68142789,0.20521,1.879
,BrCC1=CC=C(C=C1I)N(=O)=O,-0.07429,97.67841403,0.22622,2.438
,BrCC1=CC=C(I)C=C1,-0.01599,97.63282227,0.19376,1.561
,BrCC1=CC=C(I)C=C1Br,-0.02577,97.6373218,0.21239,1.819
,BrCC1=CC=C(I)C=C1N(=O)=O,-0.0721,97.64068318,0.20372,2.631
,BrCCC1=CC=CC=C1I,-0.00409,97.69526392,0.1845,0.662
,CC(=C)C1=CC=C(I)C=C1,-0.01443,97.64067437,0.18625,1.409
,CC(=O)C1=C(Br)C=CC(I)=C1,-0.04442,97.6384599,0.18859,2.026
,CC(=O)C1=C(F)C(I)=CC=C1F,-0.04265,97.67027566,0.12656,1.307
,CC(=O)C1=C(I)C=CC(F)=C1,-0.042,97.75275444,0.25402,1.250
,CC(=O)C1=C(I)C=CC=C1,-0.0341,97.74603175,0.21937,0.955
,CC(=O)C1=C(N)C(I)=CC(Br)=C1,-0.04321,97.70001606,0.14506,1.137
,CC(=O)C1=C(O)C=C(I)C=C1,-0.03392,97.64144777,0.23674,2.082
,CC(=O)C1=CC(Br)=CC(I)=C1,-0.04926,97.63548086,0.20669,2.257
,CC(=O)C1=CC(Cl)=C(C)C(I)=C1O,-0.0387,97.79379634,0.1137,-0.059
,CC(=O)C1=CC(I)=C(Br)C=C1,-0.04636,97.66904207,0.18631,1.749
,CC(=O)C1=CC(I)=C(C=C1)C(O)=O,-0.06114,97.7210084,0.24988,1.908
,CC(=O)C1=CC(I)=C(O)C=C1,-0.02833,97.66573296,0.10025,0.916
,CC(=O)C1=CC(I)=CC(C)=C1N,-0.03019,97.63432507,0.13928,1.494
,CC(=O)C1=CC(I)=CC=C1,-0.03983,97.62650841,0.18498,2.032
,CC(=O)C1=CC(I)=CC=C1N,-0.03286,97.62572597,0.13039,1.577
,CC(=O)C1=CC(I)=CC=C1O,-0.04724,97.62504108,0.15732,2.024
,CC(=O)C1=CC=C(I)C(Br)=C1,-0.04655,97.70119665,0.21135,1.588
,CC(=O)C1=CC=C(I)C(F)=C1F,-0.04783,97.67319392,0.1765,1.678
,CC(=O)C1=CC=C(I)C=C1,-0.03928,97.6429065,0.2116,2.021
,CC(=O)C1=CC=C(N)C(I)=C1,-0.0215,97.68701284,0.12952,0.750
,CC(=O)C1=CC=C2C=CC=CC2=C1I,-0.04957,97.8569161,0.31267,0.727
