can,UMAP1,UMAP2,rate
NC1=C(I)C=C(Cl)C(=C1)C(F)(F)F,2.0916243,13.75921,-0.3445675919694101
COC1=C(I)C(Cl)=C(Cl)C=C1,1.4347695,9.704,-0.3341217343172275
OC1=C(I)C=C(C=C1)C1=CC=CC=C1,2.3951435,14.6595955,-0.3299005555722436
COC(=O)C1=C(N)C(I)=CC(F)=C1,4.1987815,11.91461,-0.3282427545852178
FC1=CC=CC(F)=C1I,-0.2839836,11.144025,-0.3272998766256883
ClC1=CC(Br)=C(I)C(Cl)=C1,3.1642587,6.890306,-0.3256125044722329
COC1=CC=C(I)C(OC)=C1,0.5253651,14.01202,-0.3201865568253002
IC1=CC=C(OCCN2CCCC2=O)C=C1,6.0049157,16.164919,-0.3163940470800308
NC(=O)C1=CC(O)=C(I)C=C1,1.2219911,13.2330475,-0.3079241061311648
COC1=CC=C(OC)C(I)=C1,0.64308596,14.648672,-0.3030336006361951
BrC1=C(OC2=C(I)C=CC=C2)C=CC(=C1)C#N,3.8406022,14.83907,-0.2966677179431808
COC1=CC(B(O)O)=C(I)C=C1,1.9725827,16.819775,-0.2896456919920671
OC(=O)C1=CC(I)=C(O)C(I)=C1,2.878173,11.839789,-0.2740508206641181
CC(C)(C)OC(=O)NC(CC1=CC(I)=CC=C1F)C(O)=O,5.482309,14.921454,-0.2651364717149125
CC(C)(C)C1=C(I)C=CC=C1,2.5114748,17.53765,-0.2601182993381869
IC1=C(OCC2=CC=CC=C2)C=CC=C1,2.888114,14.198493,-0.248906205237582
COC1=CC(Cl)=CC(I)=C1,8.185604,16.626081,-0.2444800812156049
COC(=O)C1=CC(I)=C(Cl)C=C1N,3.0667002,10.277171,-0.2428622660453721
CC(=O)NC1=C(C=C(I)C=C1)C(F)(F)F,6.791807,16.299778,-0.2408825490224684
COC1=C(C)C=CC(I)=C1,7.464768,17.2511,-0.2399194140817619
COC(=O)C1=C(I)C=C(OC)C(OC)=C1,5.53574,16.096727,-0.2378121044967333
CCOC(=O)C1=CC(O)=C(I)C(O)=C1,-0.23056993,12.48782,-0.2267432091511356
CC1=CC(Br)=CC=C1I,3.5607865,16.968597,-0.222811777475938
ClCC1=C(I)C=CC=C1,3.8825073,18.058365,-0.2199190529441632
CC1=C(F)C=C(F)C(I)=C1,0.43079802,11.583119,-0.20499917180997
COC1=CC(N)=C(C=C1I)C(O)=O,3.4808352,11.538454,-0.2027716364082871
OC1=C(F)C=CC=C1I,0.5772719,12.7575445,-0.1894980702950054
FC(F)(F)C1=CC(I)=C(Br)C=C1,2.7193139,7.591055,-0.1883496170642917
