can,UMAP1,UMAP2,rate
COC(=O)C1=C(I)C=CC(O)=C1,6.977725,2.5878341,1.3601425488198466
CCCCCC1=CC=C(I)C=C1,13.72244,2.7396696,1.3627651101107188
NS(=O)(=O)C1=CC=CC=C1I,3.0718238,6.234192,1.363121432149674
[H][C@@](CC1=CC=C(I)C=C1)(NC(=O)OCC1=CC=CC=C1)C(O)=O,13.173612,0.51142365,1.3637239360088234
CC1=CC(C)=C(I)C=C1C(O)=O,6.2988563,3.8919935,1.364096246560569
FC1=C(I)C=CC=C1Br,6.0430083,8.011238,1.3643625786849174
IC1=C(OC2=CC=CC=C2N(=O)=O)C=CC=C1,5.6512957,4.728315,1.365702840885946
CC(=O)OC1=CC=C(I)C=C1,13.252813,4.6099997,1.366985820467271
COC1=C(C)C=C(I)C=C1,15.732283,3.8088477,1.3675284040795697
IC1=CC=CC(=C1)N=C=S,8.613788,0.025629679,1.3682034823106424
FC1=C(I)C=CC(=C1)C#N,5.0064225,7.421384,1.368443045503578
COC1=CC=C(I)C(=C1)N(=O)=O,3.7919989,2.3805535,1.3693323811027247
FC1=CC(I)=C(F)C=C1,6.410039,9.27844,1.3706722750522773
CC1=C(C=C(Cl)C=C1I)C(O)=O,5.784582,3.4855204,1.3732217019396835
NC(=O)C1=CN=C(OC2=CC=C(I)C=C2)C=C1,13.205675,1.7120095,1.373950959841267
OC[C@H]1N=C(O[C@@H]1C1=CC=C(I)C=C1)C1=CC=CC=C1,12.879784,0.9559043,1.3766763019040211
CCOC(=O)CC(=O)C1=C(I)C=CC=C1,6.841521,2.9201705,1.3767393908226484
CC1=C(Cl)C=C(I)C(O)=C1I,7.417519,6.341533,1.3771880370352358
NC1=C(I)C=C(OC(F)(F)F)C=C1,9.107292,8.47412,1.377495368333563
OC1=CC(I)=CC=C1C1=C(O)C=C(I)C=C1,10.552475,0.43457392,1.378112608226009
NC1(CC1)C1=CC=C(I)C=C1,13.949973,4.013274,1.3800848090350577
OC1=C(I)C(Cl)=CC=C1,6.858096,8.309113,1.3814957684414144
OC1=C(C=O)C(I)=CC=C1,4.6879754,3.5123713,1.3815733157431056
NC1=CC=CC(=C1I)N(=O)=O,5.70999,5.0608764,1.382422133367486
BrC1=CC=C(C=C1)C(=O)C1=CC=C(I)C=C1,9.389614,-0.09014382,1.3846013470731064
COC1=C(I)C2=C(C=CC=C2)C=C1,6.9419713,5.738856,1.3869391952720234
COC(=O)C1=C(I)C=CC(C)=C1,6.3872876,2.7289658,1.387640544763132
CC(=O)C1=CC(Cl)=C(C)C(I)=C1O,6.6455793,5.661541,1.393315770754307
BrCC1=CC=C(C=C1I)N(=O)=O,4.8632154,1.5388913,1.394303045157402
OC(=O)CCCCC1=CC=C(I)C=C1,13.526778,2.2546473,1.3944776504448824
CCOC(=O)C1=C(Cl)C=C(I)C=C1,11.065347,3.1144636,1.395552944076068
NC(=O)C1=C(O)C=CC(I)=C1,8.463123,2.6304677,1.3961113964211211
OC(=O)C1=C(I)C=C(F)C=C1,6.068004,1.6489065,1.3961302263246071
CC1=CC(I)=C(C)C=C1N(=O)=O,4.8948584,3.616387,1.3975121042833432
FC1=CC(=CC(I)=C1)C(F)(F)F,10.8745365,4.1932664,1.3996546710358886
CCN(CC)C(=O)C1=CC(O)=C(I)C=C1,8.498289,7.4214125,1.402794951423902
COC1=CC=C(OC2=C(I)C=C(C=C2I)C(O)=O)C=C1,7.473738,4.5628805,1.4053247717914918
COC1=CC(I)=C(I)C=C1OC,1.8577894,5.833423,1.4066717326052014
CC(C)(C)OC(=O)C1=C(F)C=C(F)C(I)=C1,6.622425,8.141809,1.406753758399024
IC1=CC=C(CC(=O)N[C@H]2CCOC2=O)C=C1,12.84731,1.6965396,1.4071457004095278
BrC1=C(C=O)C=CC=C1I,1.9044088,4.6867056,1.4077164195172367
CC(C)OC1=CC=C(I)C=C1,15.587224,3.2085605,1.407795000441242
COC1=CC(B(O)O)=C(I)C=C1,12.28094,7.420179,1.4080953066233717
COC1=C(I)C=C(Br)C=C1F,7.456416,7.8475957,1.408876981829372
NCCOC1=CC=C(I)C=C1,15.469665,3.4744258,1.4111304352473448
CCOC(=O)C1=CC(I)=CC=C1N,8.846857,2.7433887,1.414210892123264
CC(=O)OC1=CC=CC(I)=C1,12.332253,4.3896794,1.4183569528990905
NC1=CC=C(I)C2=CC=CC=C12,9.98421,8.451713,1.4184399931130574
NC1=C(I)C(Br)=CC=C1,7.2372136,7.9303503,1.418643869124922
COC1=C(I)C=C(C=C1I)C#N,7.165139,5.7757883,1.4187227965590343
COC(=O)C1=CC(I)=C(N)C(Br)=C1,8.515509,7.605673,1.4230944489022817
CCOC(=O)C1=CC(I)=C(OC)C=C1,8.1241865,7.644028,1.426167698675516
CC(C)(C)NC(=O)C1=CC=C(I)C=C1,10.485527,-1.2490237,1.4263258005449313
NC1=C(OC2=CC(I)=CC=C2)C=CC=C1,14.50606,3.034837,1.430002427291616
COC1=C(F)C=C(I)C=C1F,13.780442,5.37996,1.4300520821239555
BrC1=CC=C(C#N)C(I)=C1,5.0554113,0.8020588,1.4316774585027725
ClCC1=CC(I)=C(CCl)C=C1,10.616017,6.9920063,1.431760767718446
CCCCC1=CC=C(I)C=C1,13.741058,3.3261063,1.432393195913745
COC1=CC=CC(C(O)=O)=C1I,6.2188497,5.7857933,1.433704789890812
BrC1=CC=CC(=C1)C1=CC=C(I)C=C1,11.933737,3.3320057,1.4350391707983576
CC1=C(C(I)=CC=C1)N(=O)=O,3.451308,2.2783246,1.4354456198238168
