can,E,ES_root_dipole,ES_root_electronic_spatial_extent,ES_root_molar_volume,E_thermal_correction,dipole,electronegativity,hardness,homo_energy,lumo_energy,molar_mass,molar_volume,C1_APT_charge,C1_ES_root_Mulliken_charge,C1_ES_root_NPA_Rydberg,C1_ES_root_NPA_charge,C1_ES_root_NPA_core,C1_Mulliken_charge,C1_NMR_anisotropy,C1_NMR_shift,C1_NPA_Rydberg,C1_NPA_charge,C1_NPA_core,C1_VBur,I1_APT_charge,I1_ES_root_Mulliken_charge,I1_ES_root_NPA_Rydberg,I1_Mulliken_charge,I1_NMR_anisotropy,I1_NMR_shift,I1_NPA_Rydberg,rate
IC1=CC=C(CC#C)C=C1,-358.07312,7.5305,2540.1332,1393.843,0.137233,1.9724,0.13931,0.10737,-0.24668,-0.03194,242.0588,1095.162,0.471978,-0.307998,0.03085,-0.26108,1.99875,-0.399062,90.5414,67.8998,0.027,-0.23407,1.99864,0.6258653241,-0.279956,-0.080479,0.02552,0.135568,28.8752,45.569,0.00523,1.187
OC1=CC(F)=C(Cl)C=C1I,-876.5744638724,6.5343809201,2348.1537648259,1231.107043117,0.0864160425,2.8532774853,0.141482571,0.0993398132,-0.2408223842,-0.0421427577,272.445,1153.9736360596,0.1608885541,-0.3688360605,0.0314025386,-0.3110789051,1.99875,-0.4879868004,66.5952440719,86.4496285943,0.0264548276,-0.3102085676,1.99861,0.6502730849,-0.1737811827,-0.1431893344,0.0195889658,0.1992320854,25.9148048766,47.0432052964,0.0056478797,0.803
CC(C)(C)OC(=O)C1=C(O)C=CC(I)=C1,-663.3688007536,3.9012530601,4607.4234572035,2089.0809945634,0.2379840661,2.8438360258,0.1466238325,0.089337682,-0.2359615145,-0.0572861505,320.1264,2494.8821734438,0.1745862372,-0.4015245084,0.0278484228,-0.1753367197,1.9986198423,-0.4338836602,77.8916377908,79.4761854789,0.0272193691,-0.2667350151,1.9986298423,0.6250811468,-0.2402351571,0.3315479427,0.0039692117,0.1490399081,29.2423273692,45.6129416353,0.0053501577,1.821
FC(F)(F)C1=C(I)C=CC(=C1)C#N,-671.713209,11.1865,2904.7825,1317.535,0.105355,3.8838,0.169985,0.098485,-0.26847,-0.0715,297.0181,1606.75,0.541547,-0.500009,0.02537,-0.33245,1.99857,-0.408003,132.9562,57.8706,0.02824,-0.20021,1.99863,0.68156073,-0.182375,0.603054,0.0048,0.242646,28.4374,43.3068,0.00585,1.693
OC1=C(I)C=CC=C1N(=O)=O,-522.2730689528,11.2259105212,2215.501566964,1194.0349136219,0.1074080001,3.9091071574,0.1787699776,0.0740700337,-0.2528400112,-0.1046999439,265.007,1316.5004199235,0.1998700299,-0.4851019767,0.0279200009,-0.2434800215,1.9986300001,-0.5006360356,80.7726357104,74.6932039424,0.0275699977,-0.3008400313,1.99864,0.6485210953,-0.1554061424,0.4528007746,0.0038900021,0.2102540333,25.9809932996,46.1647048244,0.0056999986,2.001
OCC1=CC(F)=C(I)C=C1,-456.3362843599,8.6992512288,2261.0319284456,1447.1164714348,0.1246917171,2.4784055385,0.1411575755,0.1061913475,-0.247348923,-0.034966228,252.0267,1413.5177502098,0.2475162772,-0.4107564966,0.0312710175,-0.3328460038,1.99868,-0.5161444249,77.0472878246,82.4422243482,0.0267132271,-0.3233908751,1.99857,0.6424610611,-0.1848523964,-0.0634599993,0.0247744515,0.1809813116,25.9348061435,46.9753964581,0.005986073,0.683
NC(=N)C1=CC=C(I)C=C1,-391.4207081287,7.2040192637,2434.0025800704,1421.0162607397,0.1397211783,3.2585700234,0.1420670529,0.103739523,-0.2458065758,-0.0383275299,246.0502,1332.7373591846,0.5227920351,-0.310556213,0.0307116675,-0.2631160519,1.99876,-0.3968807774,101.5771113725,62.4674715269,0.027244374,-0.2247926123,1.99865,0.6249520311,-0.2790796286,-0.0681348187,0.0255737678,0.1516574296,28.8766263943,45.1025970899,0.0052981247,-0.931
IC1=CC=C(C=C1)N1C=CC=C1,-451.4993640005,11.4339017484,3390.3271615262,1564.4367679383,0.1638969995,0.5308,0.1302000106,0.0963949921,-0.2265950026,-0.0338050185,269.0844,1293.8210154217,0.4140405734,-0.3002434415,0.03137,-0.2582299417,1.99876,-0.4017324351,93.3762300524,69.1804938012,0.02706,-0.2424599417,1.99864,0.6235053493,-0.2737135495,-0.192752566,0.0228199894,0.1498689444,29.022202755,45.3695985165,0.00533,1.322
COC1=CC(I)=C(F)C=C1,-456.328031177,13.551576375,2114.6289250551,1605.5337645732,0.1242373684,3.7892491151,0.1350961876,0.0982802572,-0.2333764448,-0.0368159304,252.0267,1363.3547255296,0.4085962004,-0.4236428681,0.0328410136,-0.3642284893,1.9987352118,-0.5249994976,85.1627462553,79.1761780447,0.0272110136,-0.3000328672,1.9985952118,0.6448604436,-0.1809926686,-0.2891525882,0.017210885,0.1847752898,26.3928321526,46.6232459221,0.0059695764,1.508
NC1=C(I)C=C(Cl)C=C1,-757.545005,10.0565,2081.2605,1606.62,0.106425,3.7016,0.12917,0.09116,-0.22033,-0.03801,253.4697,1323.099,0.248707,-0.332285,0.03065,-0.28173,1.99879,-0.454184,64.2746,81.6434,0.02558,-0.26754,1.99863,0.6540276904,-0.235115,-0.28988,0.01669,0.163284,25.1504,47.3746,0.00535,0.762
