can,E,ES_root_dipole,ES_root_electronic_spatial_extent,ES_root_molar_volume,E_thermal_correction,dipole,electronegativity,hardness,homo_energy,lumo_energy,molar_mass,molar_volume,C1_APT_charge,C1_ES_root_Mulliken_charge,C1_ES_root_NPA_Rydberg,C1_ES_root_NPA_charge,C1_ES_root_NPA_core,C1_Mulliken_charge,C1_NMR_anisotropy,C1_NMR_shift,C1_NPA_Rydberg,C1_NPA_charge,C1_NPA_core,C1_VBur,I1_APT_charge,I1_ES_root_Mulliken_charge,I1_ES_root_NPA_Rydberg,I1_Mulliken_charge,I1_NMR_anisotropy,I1_NMR_shift,I1_NPA_Rydberg,rate
OC1=CC(=CC=C1I)C(=O)N1CCOCC1,-717.4416697584,8.6268509665,5453.4279980062,1717.804640848,0.236241069,2.4715663466,0.1384037625,0.1012505141,-0.2396542766,-0.0371532484,333.1252,2067.6536409575,0.3085150677,-0.3504038406,0.0316296951,-0.2969776791,1.9987400055,-0.4698193096,77.8826946264,77.8373787212,0.0264597686,-0.2871060424,1.99861,0.6475788262,-0.2192666805,-0.1606013772,0.0226881311,0.1741987483,25.6611884951,46.9224068322,0.0056298464,0.9786156325118383
OC1=CC(Br)=C(I)C(Br)=C1,-5459.140836,8.7684,3664.2613,1602.032,0.08465,3.8135,0.152855,0.091645,-0.2445,-0.06121,377.8016,1419.983,-0.102383,-0.356711,0.0311,-0.25568,1.99834,-0.453379,52.1981,69.4747,0.03054,-0.31437,1.99829,0.6859660164,-0.086167,0.086701,0.01691,0.24748,28.1714,43.3882,0.00573,-0.06173765569681569
OC1=CC(Br)=CC(I)=C1,-2888.5337432893,9.4705252578,2690.0386312451,1290.8068567122,0.0934321495,2.7257991464,0.1460188318,0.1018720582,-0.2478908901,-0.0441467736,298.9055,1360.0147547652,0.6481066113,-0.3415632684,0.0314688874,-0.284247955,1.9988250556,-0.4148879902,106.980992081,64.7132896209,0.0277883311,-0.2068592343,1.99867,0.6280714681,-0.244407534,-0.1999904529,0.016515661,0.1681605703,30.4189125644,44.5638236261,0.0053550556,1.86984696707239
OC1=CC(C=O)=C(I)C=C1,-431.1432782181,1.6838276142,1988.199075288,1308.3646712583,0.1134863303,4.0307231923,0.1577424387,0.0831805604,-0.2409229991,-0.0745618782,248.0198,1258.6750428385,0.3941634111,-0.4704764876,0.0249926805,-0.2564393404,1.998558735,-0.4439264462,93.3730727491,69.9895977563,0.0259357125,-0.2199961598,1.9985993675,0.656555472,-0.206367126,0.2162376531,0.0050700735,0.1770009952,25.7783275644,46.6229225486,0.0051124794,1.5630122608694712
OC1=CC(Cl)=C(F)C=C1I,-876.5730545812,6.9966280171,2394.0192874227,1272.4543300631,0.0863534607,2.5986249142,0.1405990257,0.0998561024,-0.2404551281,-0.0407429233,272.445,1390.287845053,0.2882419083,-0.3626375214,0.0318299794,-0.3103649682,1.9987646272,-0.484319043,75.0196975276,81.8894555286,0.02643715,-0.2985467454,1.99863,0.6488264254,-0.1850465938,-0.1752281949,0.0199385796,0.2031823393,25.7777354757,46.9276253149,0.0056550663,0.6314005462501883
OC1=CC(Cl)=C(I)C=C1,-777.403032,9.8124,1918.1402,1139.172,0.093484,3.0122,0.14005,0.09797,-0.23802,-0.04208,254.4545,1518.896,0.101176,-0.295838,0.03137,-0.26326,1.99857,-0.406383,64.3815,77.4174,0.02818,-0.29221,1.99847,0.6532410321,-0.158165,-0.084512,0.02048,0.189457,27.871,45.5579,0.00547,0.6925272762170619
OC1=CC(F)=C(Cl)C=C1I,-876.5744638724,6.5343809201,2348.1537648259,1231.107043117,0.0864160425,2.8532774853,0.141482571,0.0993398132,-0.2408223842,-0.0421427577,272.445,1153.9736360596,0.1608885541,-0.3688360605,0.0314025386,-0.3110789051,1.99875,-0.4879868004,66.5952440719,86.4496285943,0.0264548276,-0.3102085676,1.99861,0.6502730849,-0.1737811827,-0.1431893344,0.0195889658,0.1992320854,25.9148048766,47.0432052964,0.0056478797,0.937881100098763
OC1=CC(F)=C(F)C=C1I,-516.2567455041,6.961586313,1971.3836027073,962.0904716653,0.0874184577,2.4377444123,0.1386035942,0.099183818,-0.2377874123,-0.0394197762,255.9904,1081.3536004226,0.2105233308,-0.3650682064,0.0317345774,-0.3137099561,1.9987649364,-0.4925810427,65.4273864023,87.9348655009,0.026097988,-0.3116594476,1.99863,0.6489790742,-0.1732397664,-0.1818834135,0.0199862751,0.1941556058,25.583088599,47.2092853438,0.0056217801,0.6777945570785314
OC1=CC(F)=C(I)C=C1,-417.0920610131,10.4712976819,1675.3616838621,1330.3857877509,0.0947877923,3.6471300546,0.1347681373,0.1004989725,-0.2352671098,-0.0342691648,237.9999,944.3600290163,0.0890965125,-0.4074879542,0.03197,-0.3280537254,1.99868,-0.5310981006,65.5487722143,92.0228768966,0.0264862527,-0.3490090991,1.99856,0.6420573449,-0.1631759603,-0.1332780008,0.0230404285,0.1788603857,25.8451606522,47.3110941809,0.00604,0.5798307854767745
OC1=CC(I)=C(Br)C=C1,-2888.5314229746,11.2317497074,2305.9687206692,1331.1298195535,0.0934178686,3.7794805485,0.1430683371,0.0954665993,-0.2385349364,-0.0476017378,298.9055,1232.4867641665,0.4390589366,-0.3421600472,0.0318355298,-0.2876842101,1.99858,-0.4254762563,81.6576954207,61.0758698838,0.0292255722,-0.2410123086,1.99848,0.6592203018,-0.1755404996,-0.2044342355,0.0143602543,0.1984569949,29.3400642563,44.0439446732,0.0054799576,1.2526499694303597
OC1=CC(I)=C(C=C1)N(=O)=O,-522.2595540832,7.5838970918,2159.3099755601,1298.6790461955,0.1074383296,5.8998590296,0.1733185906,0.0863037684,-0.2596223589,-0.0870148222,265.007,1395.6720217391,0.6383381169,-0.4505517173,0.0270588205,-0.260144605,1.99857,-0.4160275107,122.1411471187,66.7827247407,0.0278661145,-0.2158174409,1.9986,0.6631464449,-0.1222112565,0.3764064,0.0047918821,0.2439871697,29.8341096457,43.0736089197,0.005535412,1.9603529044175605
OC1=CC(I)=C(C=O)C=C1,-431.1464686597,2.4592098448,1972.4706519031,1429.6139833997,0.1135231351,4.9026783209,0.1586058935,0.093314096,-0.2519199896,-0.0652917975,248.0198,1017.6933533567,0.7807774136,-0.466349422,0.0256441832,-0.2149839326,1.998599073,-0.4358904544,114.157516493,56.1072381019,0.026635255,-0.1711454725,1.9986295365,0.6577935104,-0.2219418351,0.2061930375,0.0051184124,0.1823565408,26.2091011662,46.0119504313,0.0050608838,1.9548475619812984
OC1=CC(I)=C(Cl)C=C1,-777.4025237467,12.1245842152,1899.5591171992,1272.1941387585,0.0935925799,3.8561965383,0.1419122013,0.0975894318,-0.2395016331,-0.0443227695,254.4545,1054.6918471617,0.4446896147,-0.3094265911,0.0321969705,-0.2991016775,1.99862,-0.3981008142,84.340427128,64.459166598,0.0288109232,-0.243698402,1.99851,0.656555982,-0.1696696506,-0.2413012854,0.0153339527,0.1959263402,28.489314106,44.7990917052,0.0054053491,0.8362519543991068
OC1=CC(I)=C(O)C=C1I,-403.8850133627,0.9907880213,1624.9958770337,1237.0738799865,0.0985239487,0.8527426075,0.1344073129,0.0914598219,-0.2258671348,-0.0429474911,361.9054,1466.9998438285,0.3890928032,-0.424418856,0.031018965,-0.3198618095,1.9987014561,-0.4919684687,69.0741373017,79.7010269639,0.0265289702,-0.2902521022,1.9986143559,0.6498487736,-0.228000054,-0.0436406152,0.0143162946,0.1897260138,25.1103541181,47.6749464197,0.005483683,0.8428369656549362
OC1=CC(I)=CC(F)=C1,-417.0923618525,11.0607825654,1743.0855243638,1321.8458549602,0.0946822432,2.5582097076,0.1418281499,0.1039489394,-0.2457770893,-0.0378792106,237.9999,1080.981373199,0.661259426,-0.333047129,0.0319076196,-0.3039282242,1.99885,-0.4116180606,110.0704064437,64.9792680265,0.0273287321,-0.2062238038,1.99869,0.6270407321,-0.2312637404,-0.2846924283,0.0184974123,0.1614361852,30.0268396788,44.6942273104,0.00534,1.4674560907128116
