can,E,ES_root_dipole,ES_root_electronic_spatial_extent,ES_root_molar_volume,E_thermal_correction,dipole,electronegativity,hardness,homo_energy,lumo_energy,molar_mass,molar_volume,C1_APT_charge,C1_ES_root_Mulliken_charge,C1_ES_root_NPA_Rydberg,C1_ES_root_NPA_charge,C1_ES_root_NPA_core,C1_Mulliken_charge,C1_NMR_anisotropy,C1_NMR_shift,C1_NPA_Rydberg,C1_NPA_charge,C1_NPA_core,C1_VBur,I1_APT_charge,I1_ES_root_Mulliken_charge,I1_ES_root_NPA_Rydberg,I1_Mulliken_charge,I1_NMR_anisotropy,I1_NMR_shift,I1_NPA_Rydberg,rate
BrC1=CC(I)=C(Br)C=C1I,-5394.777623,0.0,3856.2563,1499.728,0.070137,0.0,0.160545,0.094525,-0.25507,-0.06602,487.6988,1542.578,0.313541,-0.375618,0.03112,-0.23576,1.99848,-0.421916,89.1171,60.0421,0.03013,-0.25313,1.99846,0.6565449969,-0.161014,0.202928,0.01178,0.241627,30.0529,43.4321,0.00569,2.7490000000000006
FC1=CC(I)=CC=C1NC(=O)N(C1CC1)C(=O)CC#N,-926.9849478562,10.7521468136,8457.6518843231,2480.4648754643,0.2456434859,6.7292807717,0.1394191974,0.0984988678,-0.2379180653,-0.0409203296,387.1517,2088.4811810957,0.4456006567,-0.3059334391,0.0314288899,-0.2522100995,1.99878,-0.4088114574,96.1641273687,72.7077169738,0.027012706,-0.2395859904,1.9986567883,0.6262800389,-0.25385867,-0.1538641758,0.02263816,0.1636472201,30.0559927222,45.0014055871,0.0054060502,2.7470000000000008
OC1=C(I)C=C(C=C1I)N(=O)=O,-533.0690822225,15.3371933254,2637.2851585584,1618.7038657685,0.0984997775,4.951,0.17786,0.08244,-0.2603,-0.09542,390.9036,1218.3961687655,0.1881798004,-0.5014873554,0.02703,-0.2474748888,1.9986,-0.500933911,83.9640600712,76.6430111836,0.02801,-0.2859251112,1.99863,0.6478917558,-0.1576273776,0.6151991335,0.00282,0.2318226001,28.2645,44.9185022249,0.00575,2.7470000000000008
OC1=CC(I)=CC(F)=C1,-417.0923618525,11.0607825654,1743.0855243638,1321.8458549602,0.0946822432,2.5582097076,0.1418281499,0.1039489394,-0.2457770893,-0.0378792106,237.9999,1080.981373199,0.661259426,-0.333047129,0.0319076196,-0.3039282242,1.99885,-0.4116180606,110.0704064437,64.9792680265,0.0273287321,-0.2062238038,1.99869,0.6270407321,-0.2312637404,-0.2846924283,0.0184974123,0.1614361852,30.0268396788,44.6942273104,0.00534,2.7470000000000008
OC[C@H]1N=C(O[C@@H]1C1=CC=C(I)C=C1)C1=CC=CC=C1,-833.8010798542,7.4091444462,8185.3241025626,2433.6786694167,0.2854972485,2.6347480646,0.1464872855,0.1004061143,-0.2468933999,-0.0460811712,379.1966,2522.6748295868,0.4766673965,-0.3093148473,0.0307504795,-0.2627265121,1.9987549505,-0.3992956499,93.111902174,66.5872769404,0.0270352568,-0.2331063553,1.99865,0.626445683,-0.2790198636,-0.076742115,0.0255020985,0.1404683741,29.4187135918,45.4105185359,0.0052575202,2.7450000000000006
OC(=O)C1=C(I)C=CC(Br)=C1F,-3100.9489468093,4.1378392102,3625.7372540208,1685.5797562827,0.0983175228,2.7109401533,0.1563556183,0.0999533346,-0.2563089529,-0.0564022837,344.9064,1464.556732856,0.5077992597,-0.3920642911,0.0285200668,-0.2371469043,1.9986493465,-0.4195359249,116.9621930324,64.8669428888,0.027474357,-0.2050705025,1.9986301089,0.6647502351,-0.1711513417,0.2730370173,0.0158904009,0.2220691705,29.0503166131,44.2439718995,0.0055802178,2.7440000000000007
COC(=O)C1=CC(I)=C(C=C1)C(=O)OC,-698.068228171,6.4786025703,4811.5411155301,1766.0736610387,0.1909650812,3.1797985326,0.168116573,0.0923847782,-0.2605013512,-0.0757317948,320.0832,1646.1408640404,0.4503518324,-0.4502309071,0.0252955039,-0.2232886489,1.9985732295,-0.419981014,109.727847224,64.0493169157,0.0270670356,-0.2045623368,1.9986168583,0.6666400638,-0.1843484134,0.5928950453,0.002632123,0.2033294319,28.8689610536,43.8730736814,0.0053357512,2.7430000000000003
IC1=CC=CC(=C1)C1=CC=CC=C1,-473.543634,8.7903,3640.2943,1796.6035,0.182675,2.256525,0.140195,0.101365,-0.24156,-0.03883,280.1076,1727.1695,0.54294,-0.332856,0.03107,-0.26196,1.99876,-0.412091,94.5901,64.7409,0.02761,-0.22005,1.99865,0.6262586532,-0.286316,-0.11468,0.0227,0.138699,29.2388,45.1967,0.00521,2.74
IC1=CC=CC(=C1)N=C=O,-410.101624,6.6412,2413.6879,1125.545,0.102626,2.2673,0.143125,0.106855,-0.24998,-0.03627,245.0192,1414.971,0.562606,-0.334722,0.0309,-0.27591,1.99877,-0.415829,103.5401,64.8664,0.0275,-0.22312,1.99866,0.627281309,-0.255511,-0.087886,0.02421,0.156326,29.4751,44.9471,0.00532,2.7390000000000008
CCOC(=O)C1=C(O)C=CC(I)=C1,-584.8508916632,4.0844474552,3604.7686473806,1709.2736067973,0.179585983,2.5446815818,0.1479391037,0.0890613306,-0.2370004343,-0.058877773,292.0728,1677.9537811036,0.1752211132,-0.4023769582,0.027869286,-0.1771239884,1.9986199351,-0.4338692536,79.2484108766,79.220187463,0.0272796755,-0.2670042193,1.9986299351,0.6254779117,-0.2362742414,0.3386179855,0.003949676,0.1520611631,29.2948082318,45.5463592642,0.00537,2.7390000000000008
IC1=CC=C(C=C1)C#C,-318.822529,8.9595,1973.0684,1145.664,0.107593,1.1881,0.14377,0.09992,-0.24369,-0.04385,228.032,1440.264,0.5126,-0.300528,0.03111,-0.25228,1.99877,-0.394712,101.9365,63.5859,0.02728,-0.22732,1.99866,0.6249213342,-0.284185,-0.11164,0.02432,0.157488,28.7819,44.9744,0.00534,2.7390000000000008
BrC1=CC=CC(I)=C1,-2813.36918,4.6719,2326.0895,1151.469,0.087895,2.0319,0.14899,0.10624,-0.25523,-0.04275,282.9061,817.71,0.519048,-0.330034,0.0302,-0.26216,1.99876,-0.402801,102.2642,64.4185,0.02765,-0.22252,1.99865,0.6279106356,-0.251233,0.017311,0.02378,0.16464,29.9265,44.6545,0.00536,2.7380000000000004
CCOC(=O)C(=CNC1=CC=C(I)C=C1C)C(=O)OCC,-948.4667784093,4.6981939996,10428.978790131,2570.4578023464,0.335390861,2.133929729,0.1402494803,0.0841779215,-0.2244274018,-0.0560715588,403.216,2340.6076020696,0.4393165507,-0.4070978061,0.0279687659,-0.2307620111,1.9986200006,-0.4050452472,88.7091879461,71.1287038449,0.0272552375,-0.2369157207,1.9986300716,0.6251289165,-0.3017677631,0.2175020889,0.0056938348,0.1478630836,29.2725432507,45.5107963406,0.0053,2.7380000000000004
OC(=O)C1=CC=C(Cl)C=C1I,-890.6535797394,4.3591372033,2744.531758682,1510.9813853742,0.1059387338,2.3379791451,0.1617402676,0.1001950257,-0.2619352934,-0.0615452419,282.4649,1468.5581034894,0.5603895015,-0.4519605742,0.0248524662,-0.255319025,1.9985902767,-0.4026401833,119.3436347489,61.8594091443,0.0270956895,-0.1896046245,1.9986366031,0.6666869827,-0.172587146,0.5159024223,0.0042758684,0.2139826105,29.4478759898,43.3843638631,0.0053693579,2.7370000000000005
NNC(=O)C1=CC(I)=CC=C1,-466.5689834429,3.841059819,2767.5941551037,1451.1690508221,0.1457352403,2.6568554578,0.1512575713,0.1046501637,-0.255907735,-0.0466074076,262.0496,1206.8249464474,0.471594252,-0.3449932748,0.0304921778,-0.2664275646,1.9987341466,-0.4149038987,99.4285891755,64.4893319507,0.0278585361,-0.2277427284,1.9986499943,0.6264561538,-0.2606169776,0.0520897398,0.024952495,0.1559029356,29.3696562148,44.9253923842,0.0052999727,2.7350000000000003
BrC1=CC=C(C=C1)C1=CC=C(I)C=C1,-3044.158918,9.8242,7650.7663,1567.379,0.174068,0.1523,0.14038,0.09602,-0.2364,-0.04436,359.0037,1645.7475,0.49667,-0.304791,0.03103,-0.25246,1.99876,-0.399447,96.1111,65.217,0.0271,-0.23087,1.99864,0.6233480176,-0.303224,-0.150075,0.02335,0.145235,28.9117,45.3487,0.00528,2.7350000000000003
FC1=C(Br)C=C(I)C=C1,-2912.538922,3.7535,2555.2598,1249.459,0.080599,1.7664,0.148375,0.104015,-0.25239,-0.04436,300.8966,1249.459,0.394867,-0.330642,0.03048,-0.26591,1.99876,-0.412121,97.8548,71.4437,0.02743,-0.24319,1.99865,0.6274386407,-0.218725,0.006434,0.02307,0.176309,30.2108,44.6881,0.00546,2.7340000000000004
COC(=O)C1=C(O)C=CC(I)=C1,-545.5914373871,4.1169637298,2974.3130800151,1571.1804878536,0.1495515862,2.392105352,0.1483386505,0.0889622003,-0.2373008508,-0.0593764502,278.046,1344.8429547714,0.176992722,-0.4026988147,0.0278682409,-0.1776607894,1.9986198534,-0.4339538402,79.6832470485,79.1720648114,0.0272989739,-0.2671158912,1.9986298534,0.626328091,-0.2355161968,0.3409548569,0.0039494144,0.1529455132,29.3113848625,45.537025127,0.0053704398,2.7330000000000005
CC(=O)C1=CC=C(I)C(F)=C1F,-593.581911,4.1635,2795.6133,1686.805,0.123087,1.0324,0.16727,0.09673,-0.264,-0.07054,282.0282,1070.472,0.437464,-0.555722,0.02645,-0.35082,1.99861,-0.524089,103.3381,69.7386,0.02753,-0.29779,1.99862,0.6435651353,-0.1675,0.18533,0.006,0.233938,26.1446,45.6399,0.00606,2.7330000000000005
FC1=CC(=C(I)C=C1)N(=O)=O,-546.262322,11.3796,2133.291525,1186.56,0.094427,4.553775,0.17873,0.08307,-0.2618,-0.09566,266.9981,1253.304,0.315449,-0.446654,0.02602,-0.28122,1.9985,-0.417995,110.9135,75.9096,0.02761,-0.25634,1.99857,0.6631529264,-0.095513,0.636761,0.00303,0.25345,29.399,43.5941,0.00568,2.732
IC1=CC(=CC(=C1)C1=CC=CC=C1)C1=CC=CC=C1,-704.3321536577,2.7179049127,7210.7512874689,2339.3756674214,0.268798804,2.3760855471,0.142389096,0.0979964862,-0.2403855822,-0.0443926097,356.2052,2334.1613925438,0.5966979819,-0.4068796601,0.0291016618,-0.2079648391,1.9986794851,-0.4277668994,95.0619897016,64.2978055,0.02809,-0.2121358806,1.99864,0.6269034,-0.2945753745,0.1605354542,0.0097873318,0.1454837074,29.7332566413,45.0391053247,0.00522,2.7310000000000008
CC1=CC=C(C=C1)S(=O)(=O)NC1=CC=C(I)C=C1,-1116.4459248065,7.7109886706,5982.2539412775,1936.8970625276,0.2440022354,6.3654008769,0.1434677351,0.1021405564,-0.2456082914,-0.0413271787,373.2078,2370.713548436,0.4575672174,-0.3040345822,0.0310020009,-0.2620282445,1.99876,-0.3970344535,98.4639363389,67.2535959689,0.0271670018,-0.2362207458,1.9986495607,0.627823269,-0.2608254605,-0.0904732538,0.0247578879,0.1526412842,29.4662970333,45.3091871093,0.005328605,2.7310000000000008
CCOC(=O)C1=C(I)C=CC=C1F,-608.8381524108,6.1888502753,3000.8747531544,1723.9603160818,0.1663137968,3.0660734618,0.1515924481,0.1066467111,-0.2582391592,-0.044945737,294.0639,1798.8582365559,0.5381888392,-0.3340897958,0.0297614599,-0.2561984697,1.99873,-0.4170509067,111.3644840109,65.683500123,0.0271186743,-0.1989763349,1.99863,0.6655075843,-0.1855149777,0.045422074,0.0250388985,0.1963818379,28.1573191633,44.7307530518,0.0055024272,2.7310000000000008
CC(C)NC(=O)C1=CC=C(I)C=C1,-529.0729278508,8.3135327128,4548.133902683,1752.6750111165,0.2162350414,4.4641098515,0.1483583249,0.1048439611,-0.2532022859,-0.0435143638,289.1154,1841.7700068405,0.5433312903,-0.4391595536,0.0262182003,-0.2972283575,1.9986400274,-0.395341137,103.836630746,60.9754230085,0.027309894,-0.2220951221,1.99866,0.6253482391,-0.2798761766,0.1019745549,0.0055749427,0.1560304771,29.0496419925,44.9819161204,0.0053099977,2.7300000000000004
BrC1=C(C=O)C=CC=C1I,-2926.5887014342,1.420154146,2436.5781067735,1359.3676735056,0.0992328149,3.160075185,0.170716381,0.0908144385,-0.2615308195,-0.0799019425,310.9165,1170.548425028,0.2047166528,-0.4242658442,0.0294044765,-0.248362459,1.9984915781,-0.4263445922,77.671378977,57.1228982055,0.0299473748,-0.2605038851,1.9984907891,0.6602381127,-0.1658294396,0.2046310011,0.0054452656,0.2176202993,28.776633257,43.7340901218,0.0054907891,2.7280000000000006
