,E,ES_root_dipole,ES_root_electronic_spatial_extent,ES_root_molar_volume,E_thermal_correction,dipole,electronegativity,electronic_spatial_extent,hardness,homo_energy,lumo_energy,molar_mass,molar_volume,C1_APT_charge,C1_ES_root_Mulliken_charge,C1_ES_root_NPA_Rydberg,C1_ES_root_NPA_charge,C1_ES_root_NPA_core,C1_NMR_anisotropy,C1_NMR_shift,C1_VBur,C2_APT_charge,C2_ES_root_Mulliken_charge,C2_ES_root_NPA_Rydberg,C2_ES_root_NPA_charge,C2_ES_root_NPA_core,C2_Mulliken_charge,C2_NMR_anisotropy,C2_NMR_shift,C2_NPA_Rydberg,C2_NPA_charge,C2_VBur,O1_APT_charge,O1_ES_root_Mulliken_charge,O1_ES_root_NPA_Rydberg,O1_ES_root_NPA_core,O1_Mulliken_charge,O1_NMR_anisotropy,O1_NMR_shift,O1_NPA_Rydberg,O1_NPA_charge,O1_NPA_core,O1_VBur,N1_APT_charge,N1_ES_root_Mulliken_charge,N1_ES_root_NPA_Rydberg,N1_ES_root_NPA_charge,N1_ES_root_NPA_core,N1_NMR_anisotropy,N1_NMR_shift,N1_NPA_charge,N1_VBur
C#CC(C)(C)NC(=O)C(C)(C)c1ccccc1,-711.5617538687313,2.102901090127629,4174.842002629516,2383.9954113614085,0.3242634352727856,2.7266365358381592,0.1330476144734426,4306.627992801774,0.1149816666758999,-0.2480292811493426,-0.0180659477975427,229.3212,2186.284470738716,0.0010391348126622,-0.3682918482297829,0.0187908408413085,-0.1464287193663707,1.99882,22.040873967645048,145.2038079441192,0.7966205549140949,0.9990075192772084,0.1918074292546691,0.0587173722014851,0.7414962707003546,1.9990900062154784,0.1814806053624629,115.79841929308532,22.469123631033945,0.0584562798921236,0.7400396249456508,0.7308989356165101,-0.7668365486603357,-0.2226998785828176,0.0095561182017545,1.9997200503377797,-0.2738375250813644,633.0601690237281,-50.26464094190094,0.009588877266038,-0.6485811503878193,1.9997193374502933,0.5349612420820165,-0.8027638462829698,-0.1573685842805159,0.0134573547902279,-0.6536859436198885,1.9991007191029644,78.12529110097316,132.26042394246738,-0.6806098523608293,0.7195977993657308
C#CC(C)(C)NC(=O)C(c1ccccc1)c1ccccc1,-863.7241563021747,2.3751295186370087,6142.366700800266,1969.7053686106376,0.3516152108737348,3.1157795532789634,0.1358735022912203,6355.315821711368,0.1121167657100353,-0.2479902680012556,-0.023756736581185,277.3652,2446.0858688667267,-0.0247707078454136,0.0435420409252681,0.0252662670486966,-0.3322915347926187,1.99888,16.988773644028992,131.29554464911746,0.7310823069400139,1.0388019301455684,0.1451567783188269,0.0544523044007158,0.7015287767801965,1.9991546743234925,0.1430662375418369,110.5590118284949,29.35901157568296,0.0551962543345832,0.7425877100882208,0.7004459286852894,-0.777744569951581,-0.1814141200804401,0.0102835124885711,1.9997184747540664,-0.2629494012662435,622.356761314514,-61.10340714455765,0.0098245184884254,-0.6361701261405492,1.99971088941362,0.5048443709605137,-0.8137336827650743,-0.1732447031592905,0.0129937815281722,-0.6582420640623463,1.999111627014601,84.64693519825289,125.4493868933464,-0.6840465267302407,0.7243713320331424
C#CC(C)(C)NC(=O)C1c2ccccc2Oc2ccccc21,-937.659700278544,2.611506162706319,6183.457968201546,2753.009550615257,0.3343625950033095,2.4490964486792643,0.1285079484851336,6160.039225404807,0.0978216909256346,-0.2263296394107682,-0.0306862575594989,291.3488,2752.041298463362,-0.0238714010205039,0.0679921828880063,0.0236715195972696,-0.3419394996708451,1.998929583322346,28.27731827072962,143.89346236984937,0.7094495473574232,1.0057608234709623,0.1833822593976842,0.0556868696431326,0.7392470682612334,1.9991795946387567,0.1789898930151568,109.2808677971602,28.251201134554748,0.0537088197914301,0.7517686459792761,0.6890835885155882,-0.7562501634558499,-0.2359978439394717,0.0101977944244682,1.9997195833223456,-0.2651621142022126,605.3037622831534,-54.42735605733191,0.010022669548395,-0.6324422443873113,1.9997195833223456,0.5109509487344852,-0.7902075513281138,-0.1695572213490152,0.0132265207839162,-0.6678725622217759,1.9991096059551683,81.77725476374611,127.47845078504248,-0.6786995772133434,0.7066295749872015
C#CC(C)(C)NC(=O)Cc1cc(F)cc(F)c1,-831.3096350867866,2.0242396103833,4580.225810864541,2219.7355012206044,0.250528813253049,2.4997318578649352,0.1467183967517537,4961.618841679772,0.1110550671049632,-0.2577734638567169,-0.0356633296467904,237.2486,1842.205978596176,-0.100882020544245,0.0950342526319606,0.018894193201584,-0.5274163341679005,1.9990399999999997,35.64312202901057,148.3222984711805,0.5602291947840015,1.1322886438654187,0.1146150283099468,0.0487324771516255,0.7249861141577953,1.999210974612732,0.1113583613565281,103.89933347701344,32.69972755583974,0.0491541725044126,0.7353845793860478,0.6246138174716378,-0.8433457356253006,-0.2390216944100542,0.0101414414801096,1.99972,-0.285430166966665,616.2897017799719,-52.570448884233855,0.0100626699655193,-0.6459373550442973,1.99972,0.4590040818242816,-0.8124688721617181,-0.1675591987582405,0.0128397870053,-0.6447164710805869,1.9991119492254643,78.5173185637048,127.39164604805696,-0.6798102503851304,0.6862558407011636
C#CC(C)(C)NC(=O)Cc1ccc(C(F)(F)F)cc1,-969.6611840770274,11.647363472502413,6430.481618260736,2179.5029755012656,0.2738629044682502,2.3854080833145925,0.1521236027516456,6885.162982456953,0.1057242955904304,-0.2578478983420761,-0.0463993071612151,269.2659,2182.4476291791343,-0.106271317392989,0.1145601957979401,0.0164853181400383,-0.4688378920851879,1.999027245727226,36.703617643880015,148.41089694512414,0.5592481639260614,1.1352073193532617,0.1682171260436402,0.0424957113057772,0.7518923359108516,1.999195508545548,0.1104058361578448,104.00590949592151,32.30724001809038,0.0490224696269795,0.7365469043198635,0.623905758843053,-0.8488132547196079,-0.0761499373245779,0.0090962039266908,1.99973,-0.2837671459815027,620.7758071368718,-54.487346673916505,0.010095805546062,-0.6428500241642074,1.99972,0.4565471183816971,-0.8084885592016484,-0.1477242650897982,0.0112208338254161,-0.6138141200500746,1.999112754272774,76.71785364342037,124.84482617941406,-0.6804467484361546,0.6865462573603495
C#CC(C)(C)NC(=O)Cc1ccc([N+](=O)[O-])cc1,-837.3022445671011,3.1438864614346693,6011.292113978514,1697.5636136552473,0.2707223987894062,5.508253823229168,0.1798361727319873,6588.281183187612,0.0882436589987757,-0.268079831730763,-0.0915925137332116,246.2652,1971.7183914516263,-0.1431443483461877,0.1036489510615258,0.0171646345626665,-0.5308523393143766,1.9990323662421017,24.740949895173664,147.30545471236485,0.5635598967379645,1.0943459726699378,0.111285687822353,0.0508675723242871,0.7361488065936465,1.999207387315596,0.1086765001879687,106.31695954725318,31.99714341957155,0.0510233267170967,0.734529542554953,0.6398105325122463,-0.7815053952870001,-0.2740854954261373,0.0099460351027414,1.99972,-0.2777526352565773,606.9787809767058,-58.32090629761752,0.0099489363764366,-0.6410809382557023,1.99972,0.4943358138081526,-0.810877025834972,-0.1796163906929595,0.0137029697007506,-0.6725466732868733,1.9991150210734936,105.78336931512789,129.74519320566685,-0.6732235084590563,0.6613804922452179
C#CC(C)(C)NC(=O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,-1090.0213509664386,4.045453473796842,10408.486102235023,2790.6333626259,0.3764927808516605,2.59837638553382,0.1618429026358257,12154.740949439369,0.0789257193394125,-0.2407686219752382,-0.0829171832964131,333.386,2504.1295247639478,-0.0658907303806296,0.0999416468215176,0.0184894722485891,-0.5346631367836715,1.999039591553958,33.4722650943196,149.0732339079309,0.5582335656018962,1.1281891789066625,0.1107473019105048,0.0491470003993739,0.7369586823793572,1.9992212917264096,0.1075148411465741,107.13636677283662,31.334002114202068,0.0493794368859835,0.735245730017759,0.6253694308095894,-0.8660689730183508,-0.2772042199895007,0.0099834319042987,1.999719957788804,-0.2856520678796629,621.3180629226717,-55.47166382876636,0.0099948064906266,-0.647766714394636,1.999719957788804,0.4581057191734975,-0.8145518151883255,-0.1895411266857311,0.0130664688297855,-0.6791427753943482,1.9991130400407204,79.29030525331626,127.88469122715222,-0.6818659665828207,0.6874815447094713
C#CC(C)(C)NC(=O)c1cc(F)ccc1C,-732.21105918653,5.304748634578924,4296.02928315528,1630.17817593945,0.2575002819045411,2.330568313537716,0.1482714000164925,4297.559171964357,0.1061098082230789,-0.2543812082395715,-0.0421615917934136,219.2581,1888.134968563702,-0.1328619456462673,-0.0754690838343298,0.0189861466605676,-0.191766893206194,1.998759860537008,156.81606432148908,57.17073614299733,0.6825968555462057,1.171819921712917,0.1736483252595972,0.0442284889462216,0.5946318906826354,1.99912200732168,0.1980980230705369,104.30270988635333,30.95824561427793,0.0493005120139789,0.7164696548946962,0.6633127780931146,-0.7905903575249884,-0.0854038529719459,0.0099706929068782,1.999748026217251,-0.2772188892599191,663.4339847354925,-68.39896124398688,0.0095601001325294,-0.6357562131702928,1.99973,0.5288496903847579,-0.8341725278092178,-0.1814067677978307,0.0130690541195029,-0.6480147681181457,1.999152146784672,100.57893689533356,130.21980309795285,-0.6726534900039512,0.6681771799464995
C#CC(C)(C)NC(=O)c1ccc(OCCCC)cc1,-825.8799688512414,2.87650996502281,9596.17199916502,2345.792946612098,0.360365968601093,3.084329509620904,0.1333344407048454,9694.906849947038,0.104102557142131,-0.2374369978469764,-0.0292318835627143,259.3474,2436.9152091707174,-0.3910253366058572,-0.0640399880083641,0.0184017047435371,-0.2070572498909798,1.99879,155.15709283784147,67.57449410510539,0.6455886934656,1.3310392383199896,0.2017354863694111,0.042769241636183,0.5722294331958445,1.9991202214213173,0.2248271755965997,102.19482921184148,34.222569725481016,0.0488690906550617,0.7142251005677624,0.6290875146560507,-0.84675113742788,-0.1047082565262374,0.0098589786538295,1.99975,-0.2856707777489026,621.4104895646565,-38.55626617454942,0.0091467465041686,-0.6510854774112947,1.99974,0.4929240374806109,-0.8947488971287599,-0.1969981600412355,0.0127245717202598,-0.6565230951010285,1.99915,95.19693500245248,141.73292195060935,-0.6728782292947777,0.6589840611233482
C#Cc1cccc(NC(=O)COc2ccccc2)c1,-821.1503221220695,4.449363298993198,6847.60832264198,2202.3194422650663,0.2685257961192617,3.0491275003493903,0.1392362102333842,7089.893445235535,0.0992013615239345,-0.2384375717573187,-0.0400348487094496,251.28420000000003,2032.9284074716388,0.4199575926087862,0.1867465417690124,0.0220290081103674,-0.1555246640923134,1.999067041191621,49.212534488875534,128.25091927562133,0.5413188355623031,1.101360965724242,0.0709281584026312,0.0469030405565228,0.6752338049369011,1.999263521850863,0.0817714432095936,97.79314345936828,33.22930349782157,0.04680921653659,0.6993901736493643,0.596407912360518,-0.7465844281985251,-0.2371760405815874,0.0108792771774285,1.9997235205958104,-0.2655263235880682,646.2176393938761,-57.21048397111368,0.0106310509053704,-0.6211207356155287,1.9997235205958104,0.430991785701216,-0.9507499631712129,-0.0755509390794846,0.0101513732467614,-0.5596170446992453,1.9990800006275264,95.24531694735305,130.90674422882915,-0.6466701253123928,0.608593814659115
