,amine_SASA,amine_HOMO,amine_LUMO,amine_IP,amine_Dipole,amine_N_1_BV,amine_N_1_SASA,amine_N_1_P_int,amine_N_1_charge,amine_N_1_electrophilicity,amine_N_1_nucleophilicity,amine_N_1_radicalFukui,acid_SASA,acid_HOMO,acid_LUMO,acid_IP,acid_Dipole,acid_O_1_BV,acid_O_1_SASA,acid_O_1_P_int,acid_O_1_charge,acid_O_1_electrophilicity,acid_O_1_nucleophilicity,acid_O_1_radicalFukui,acid_C_1_BV,acid_C_1_SASA,acid_C_1_P_int,acid_C_1_charge,acid_C_1_electrophilicity,acid_C_1_nucleophilicity,acid_O_2_BV,acid_O_2_SASA,acid_O_2_P_int,acid_O_2_charge,acid_O_2_electrophilicity,acid_O_2_nucleophilicity,acid_O_2_radicalFukui,acid_C_2_BV,acid_C_2_SASA,acid_C_2_P_int,acid_C_2_charge,acid_C_2_electrophilicity,acid_C_2_nucleophilicity
Nc1ccc2scnc2c1.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,301.40107549506405,-0.3641114424685452,-0.2610915808752102,7.701975560776473,1.177279936139634,0.294236861721953,20.939777937860168,17.661276098869962,-0.2736965852576461,0.0273838119488823,0.0987820648560832,0.0630829384024828,462.7447696332104,-0.3897574394956106,-0.2881253796577157,7.924331804702724,0.8827587960967258,0.3485962294805084,40.20099741895478,15.441786104003578,-0.4072749755120418,0.051260328284758,0.0745715794376939,0.0629159538612259,0.4759576293339685,6.46248918446476,22.583452632219643,0.3665485029643727,0.0174293342479977,0.0097502167304485,0.3312590430183516,28.91787796846603,17.513532641684964,-0.3713507552986952,0.0219372360398351,0.0285797378529078,0.0252584869463714,0.4903674062721799,7.776798899779719,23.055995275454805,-0.0948919662400454,-0.0099272735506097,-0.0007072935461614
Nc1ccc2scnc2c1.O=C(O)C(c1ccccc1)c1ccccc1,301.40107549506405,-0.3641114424685452,-0.2610915808752102,7.701975560776473,1.177279936139634,0.294236861721953,20.939777937860168,17.661276098869962,-0.2736965852576461,0.0273838119488823,0.0987820648560832,0.0630829384024828,411.26445320376575,-0.3957737610422575,-0.2420737098282628,8.147536886011128,0.577491008948309,0.432820070792496,29.620867356199508,17.326304331222772,-0.4080679024190211,0.0907355117948745,0.0734034351478848,0.0820694734713797,0.5532799083072948,3.6780859423353327,26.444065959023423,0.3658223734712076,0.0430458008932174,0.0084803340217145,0.3263883711093839,31.998776516404657,16.98181415291995,-0.3784729463009348,0.0502505438782266,0.0390598938617966,0.0446552188700116,0.703546635639844,0.0500011698926637,33.488320248659136,-0.050325476798148,-0.0043805358518553,0.0085579983475752
Nc1ccc2scnc2c1.O=C(O)Cc1ccc2c(c1)OCO2,301.40107549506405,-0.3641114424685452,-0.2610915808752102,7.701975560776473,1.177279936139634,0.294236861721953,20.939777937860168,17.661276098869962,-0.2736965852576461,0.0273838119488823,0.0987820648560832,0.0630829384024828,348.5435537195091,-0.3768472522494668,-0.2462864966270401,7.986025910290408,0.718568682702056,0.3387076284530918,42.52241329666401,15.38268622111542,-0.403108442084895,0.1352205839565722,0.0868768536683633,0.1110487188124677,0.4772252719386805,6.580327270727801,22.34788891721781,0.3662778959965069,0.0638978315963534,0.0105954335049658,0.3445273725909171,26.16753042927619,17.112562220183055,-0.3732591252189197,0.0632430496668699,0.0321068455185404,0.0476749475927051,0.4924276397644817,7.997773626859098,21.03372515881841,-0.0951227534646287,-0.016899664689815,-0.0027019911094596
Nc1ccc2scnc2c1.O=C(O)Cc1cc(F)cc(F)c1,301.40107549506405,-0.3641114424685452,-0.2610915808752102,7.701975560776473,1.177279936139634,0.294236861721953,20.939777937860168,17.661276098869962,-0.2736965852576461,0.0273838119488823,0.0987820648560832,0.0630829384024828,333.2666922999163,-0.4233477255741678,-0.2556844116175391,9.329513178597434,1.5818452335417337,0.3774692508377406,37.92854949388612,16.466403640656786,-0.3960258305429582,0.1078706178669227,0.1180682351109201,0.1129694264889214,0.4662749254609428,7.040164490067848,22.461373020240146,0.3666190535304637,0.0595373764237973,0.0173985874198922,0.2908620247889609,33.35372444760111,14.630660325774908,-0.3756867769090126,0.0656884683837501,0.0638081131625254,0.0647482907731378,0.4943626537401332,5.025117410689023,23.45232093532327,-0.0969061196839209,-0.0199228896821781,0.0026075596185733
CSc1cccc(N)c1.Cc1ccc(C(=O)O)cc1F,311.7688269048863,-0.3498432737220115,-0.2161812786191209,7.275366269239025,0.9834305844082984,0.2934517863266125,21.043546230052584,17.894238707916923,-0.2777178419176355,0.027892683349346,0.0676758301623126,0.0477842567558293,317.26329382913553,-0.4166162723340981,-0.2837771459847327,9.15486171265762,0.8768516514551857,0.3301317353102023,41.761349226604565,14.393466230216037,-0.4127103615645746,0.1545224464661631,0.1434039316770415,0.1489631890716023,0.4691941864917268,9.961393813542475,21.491372782683065,0.3561756797328406,0.0601772253921986,0.0132836846703718,0.3296739345180371,27.45995486863944,16.156737854160912,-0.3784390259579564,0.0702717609216907,0.0584079535807298,0.0643398572512103,0.6113660709158055,5.4158631185103925,25.74687244246568,-0.0201578055689728,0.0591811846296094,0.0601965646487505
CSc1cccc(N)c1.Cc1ccc(C(=O)O)cc1,311.7688269048863,-0.3498432737220115,-0.2161812786191209,7.275366269239025,0.9834305844082984,0.2934517863266125,21.043546230052584,17.894238707916923,-0.2777178419176355,0.027892683349346,0.0676758301623126,0.0477842567558293,309.4642065248501,-0.4079445475823716,-0.2712252867601368,8.938746678741023,1.1224363829849473,0.3300904952010237,41.70340755346419,14.373158775208928,-0.4219759236080724,0.1562661569376064,0.1483862695436668,0.1523262132406366,0.4693993413621998,9.905231703256414,21.554325996508908,0.3537216028944629,0.0627867743867017,0.0142267081829065,0.3293654503778586,27.668939700557917,16.067667311645234,-0.3841876023441986,0.0708449836363447,0.061188560965459,0.0660167723009018,0.6108163674101466,5.380124629336246,25.693117061382303,-0.0226257407589518,0.0564992759056664,0.0692293767621475
CSc1cccc(N)c1.O=C(O)c1ccc2c(c1)OC(F)(F)O2,311.7688269048863,-0.3498432737220115,-0.2161812786191209,7.275366269239025,0.9834305844082984,0.2934517863266125,21.043546230052584,17.894238707916923,-0.2777178419176355,0.027892683349346,0.0676758301623126,0.0477842567558293,340.94158122196865,-0.4400067982799953,-0.3048881480478039,9.816214478984284,1.4766430624525422,0.3313442292191514,41.57183527201087,14.455648287661576,-0.3981174583582891,0.1524807266794278,0.1544952213117461,0.1534879739955869,0.4695817923961111,9.984456846670309,21.748524123724398,0.3591672053620314,0.0569340422300633,0.0133754498557001,0.3308492622836829,27.180854790789287,16.289331713823586,-0.3702369979446698,0.0697416588639663,0.0634151601429906,0.0665784095034785,0.6133647701322036,5.418254344146371,25.944319364054863,-0.0155441358276721,0.0627785404357291,0.0574608347523236
CSc1cccc(N)c1.O=C(O)c1ccco1,311.7688269048863,-0.3498432737220115,-0.2161812786191209,7.275366269239025,0.9834305844082984,0.2934517863266125,21.043546230052584,17.894238707916923,-0.2777178419176355,0.027892683349346,0.0676758301623126,0.0477842567558293,258.1889333668917,-0.4168827346066096,-0.2790251048208975,9.797798283912432,0.9535753440990872,0.3179379116843765,44.80477782339234,13.692436410803014,-0.4091344712843749,0.1815658498277686,0.1982002050420053,0.189883027434887,0.4518532397544698,10.110625711027309,20.032426025301856,0.3510825696733468,0.0780655154866441,0.0186872859599652,0.3182029092394876,30.296766409199652,15.065720430846811,-0.3741772963931594,0.0839762680912089,0.0856517542675571,0.084814011179383,0.572317556597477,7.053930900495386,22.710373979690917,0.0803741593263532,0.0498210215563484,0.0919667515245927
CSc1cccc(N)c1.O=C(O)c1ccc(C(F)(F)F)cn1,311.7688269048863,-0.3498432737220115,-0.2161812786191209,7.275366269239025,0.9834305844082984,0.2934517863266125,21.043546230052584,17.894238707916923,-0.2777178419176355,0.027892683349346,0.0676758301623126,0.0477842567558293,331.8301207436583,-0.4097653018556596,-0.3208408845444477,9.483229747458616,0.7868177801306129,0.3297882491188614,41.85439921582218,14.291163630503624,-0.3993568662929372,0.1436420261876777,0.150516353708348,0.1470791899480129,0.4591362279649211,10.076235502377868,21.136044020379963,0.3570075066144242,0.0502034450913059,0.0196975888606851,0.3205693251616363,30.08884920930609,15.75116689532396,-0.3397350617511006,0.0701267482215581,0.0561833543026401,0.0631550512620991,0.5984089635506522,6.764158189645574,25.343093930069184,0.0763683438805775,0.0662861703664021,0.0245070740408154
CSc1cccc(N)c1.O=C(O)Cc1ccc2c(c1)OCO2,311.7688269048863,-0.3498432737220115,-0.2161812786191209,7.275366269239025,0.9834305844082984,0.2934517863266125,21.043546230052584,17.894238707916923,-0.2777178419176355,0.027892683349346,0.0676758301623126,0.0477842567558293,348.5435537195091,-0.3768472522494668,-0.2462864966270401,7.986025910290408,0.718568682702056,0.3387076284530918,42.52241329666401,15.38268622111542,-0.403108442084895,0.1352205839565722,0.0868768536683633,0.1110487188124677,0.4772252719386805,6.580327270727801,22.34788891721781,0.3662778959965069,0.0638978315963534,0.0105954335049658,0.3445273725909171,26.16753042927619,17.112562220183055,-0.3732591252189197,0.0632430496668699,0.0321068455185404,0.0476749475927051,0.4924276397644817,7.997773626859098,21.03372515881841,-0.0951227534646287,-0.016899664689815,-0.0027019911094596
