,MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,MolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi2v,Chi3v,HallKierAlpha,Ipc,Kappa2,Kappa3,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,fr_Ar_N,fr_Ar_NH,fr_C_O,fr_NH0,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_alkyl_carbamate,fr_allylic_oxid,fr_amide,fr_aniline,fr_aryl_methyl,fr_bicyclic,fr_ester,fr_ether,fr_furan,fr_halogen,fr_imidazole,fr_ketone,fr_ketone_Topliss,fr_methoxy,fr_morpholine,fr_nitro,fr_nitro_arom,fr_para_hydroxylation,fr_piperdine,fr_piperzine,fr_pyridine,fr_sulfide,fr_sulfonamd,fr_term_acetylene,fr_thiazole,fr_thiophene,fr_unbrch_alkane
Cc1ccc(NC(=O)c2cc3ccccc3s2)nc1,12.127948318216175,0.1133767951625095,-0.1133767951625095,0.7665332746688359,268.341,94.0,0.2664226980241817,-0.3058609951216847,0.3058609951216847,0.2664226980241817,1.2105263157894737,2.0526315789473686,2.789473684210526,32.13353229619805,10.234171191395369,2.100637488829036,-2.016567472689928,2.25237253592544,-2.105940542931479,7.204586210541508,0.1025438889378724,2.8512403003808884,1.850322866480248,698.2452057542329,5.407167165891718,3.917137361994134,-2.1999999999999997,38240.83490870847,4.818489641345512,2.4846016646849,5.316788604006331,5.817862777835028,0.0,0.0,5.907179729351506,0.0,4.794537184071822,4.983978520947208,0.0,11.336785877934735,24.26546827384644,36.07251411123725,10.896763488082176,4.877147193701299,4.794537184071822,33.14797251605516,0.0,4.983978520947208,0.0,6.923737199690624,5.316788604006331,59.102011736242645,0.0,5.316788604006331,5.817862777835028,0.0,11.336785877934735,10.891158250298712,0.0,6.923737199690624,15.235135869470117,48.661413050844345,0.0,10.086144130933896,41.99,0.0,4.794537184071822,5.907179729351506,10.695009971536328,15.64959562263089,11.336785877934735,12.263210640074686,43.32193961046029,10.300767124953538,0.0,1.115291950113379,1.4879567953724695,16.996066074577982,3.898894557823129,1.0693158021932374,0.463527021919879,13.602750918013363,1.7366421012849584,1.9628881120349373,0.0,0.0666666666666666,1.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,2.0,0.0,0.0,0.0,3.0,3.857020000000002,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
O=C(NCc1ccc(F)cc1F)c1ccco1,13.22858347505669,0.0221759259259262,-0.6900510204081629,0.8906064043035289,237.205,88.0,0.2867446642905895,-0.4592051951360706,0.4592051951360706,0.2867446642905895,1.2941176470588236,2.117647058823529,2.764705882352941,19.14545414236941,10.175926046865596,2.0923316044842872,-2.041976123963264,2.0917498903412937,-2.223251188184474,5.907526725864007,0.0922610234171236,2.806488213003701,2.0051270859134047,523.3068281195697,3.395710452045673,2.199476631243446,-2.17,10555.20216910692,4.77714057675928,2.68874938476672,9.733939541059678,11.634441682091788,5.7602474188744415,0.0,5.907179729351506,0.0,4.794537184071822,8.78083009534964,0.0,0.0,6.06636706846161,18.19910120538483,18.17457496607118,6.263162995639057,17.99251821647481,5.907179729351506,0.0,5.316788604006331,0.0,6.544756405912575,0.0,59.55313893061033,0.0,5.316788604006331,8.78083009534964,0.0,0.0,5.907179729351506,6.544756405912575,11.634441682091788,16.118236094643258,41.01214927500045,0.0,0.0,42.24,17.541621411443295,13.575367279421462,17.868455316484013,0.0,12.13273413692322,18.39589713256228,6.06636706846161,0.0,5.316788604006331,4.417150937053347,30.723153880417588,0.0,11.455957420005038,2.4665051020408164,0.2141723356009073,-1.6392584719072798,6.266536197021407,1.368442796080783,-0.0221759259259262,0.0,0.0833333333333333,1.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,3.0,0.0,0.0,0.0,2.0,2.487800000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(NCc1ccc(Cl)cc1)c1cccc(-c2ccccc2)c1,12.331297696033143,0.0854341458805743,-0.0854341458805743,0.7244231313314544,321.807,114.0,0.2510665627747987,-0.3479617088124412,0.3479617088124412,0.2510665627747987,0.8260869565217391,1.5217391304347827,2.260869565217391,35.495691483985425,10.027921738493232,2.0662017833559188,-2.075177496921593,2.196405112067455,-2.222114459316323,6.300891274860015,0.0950696685219789,2.6169656496123976,1.7117627428172768,797.3853641335054,5.692409493665059,3.850185382976061,-2.5799999999999987,246455.3570178972,7.1204929021315015,3.992370205631557,5.316788604006331,0.0,0.0,0.0,5.907179729351506,0.0,4.794537184071822,0.0,0.0,0.0,66.198243506387,40.95582274893743,17.130841211350898,0.0,4.794537184071822,17.508119619584022,0.0,5.316788604006331,0.0,6.544756405912575,0.0,95.01230818713628,11.126902983393991,5.316788604006331,0.0,0.0,11.600939890232516,5.907179729351506,6.544756405912575,0.0,15.921440167465814,78.86277189000094,5.022633313741326,11.126902983393991,29.1,0.0,4.794537184071822,5.907179729351506,17.130841211350898,16.690354475090988,0.0,0.0,78.86277189000094,5.316788604006331,11.600939890232516,0.0,5.858558323910795,12.331297696033143,3.6217695311922617,3.798032160429047,-0.0854341458805743,25.10914267896133,0.0,0.4777448664651043,0.0,0.05,1.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,3.0,4.937000000000004,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COc1ccc(NC(=O)c2cccc(-c3ccccc3)c2)cn1,12.381949089821113,0.1715296674225241,-0.1715296674225241,0.7920462418845332,304.34900000000005,114.0,0.2552233399373484,-0.4809823313974458,0.4809823313974458,0.2552233399373484,0.9565217391304348,1.7391304347826086,2.4347826086956523,16.472651011009027,10.028322575086838,2.077557399978664,-2.07438845942226,2.204649753561145,-2.116081016863796,6.044139493885305,0.1022036676455482,2.630129892196765,1.7925350399276334,799.1133032758246,4.990189979462717,3.435232969556917,-3.1399999999999992,257458.1548873569,6.747221860084726,3.5501870578602897,10.05365155780638,0.0,0.0,5.879988336435371,5.907179729351506,0.0,4.794537184071822,4.983978520947208,0.0,0.0,42.46456947923127,29.32600418877882,11.629818560158606,18.99402738757417,9.53140013787187,11.594566004035068,0.0,4.983978520947208,0.0,0.0,12.426586145283864,78.49033281638779,17.00689131982936,10.05365155780638,5.687386274683562,5.879988336435371,0.0,18.000955791576246,0.0,0.0,10.357988675768818,72.92688132469078,0.0,11.126902983393991,51.22,0.0,4.794537184071822,5.907179729351506,17.130826102815927,11.126902983393991,0.0,31.50574231827544,48.53093654769288,10.300767124953538,4.736862953800049,4.99969641957092,0.0,16.454050000407776,2.8312063807004284,3.307829024414072,0.3368721329566047,20.951846491022803,1.56724253590325,0.0,1.5512570150241505,0.0526315789473684,1.0,4.0,0.0,0.0,0.0,2.0,1.0,3.0,4.0,4.0,0.0,0.0,0.0,3.0,4.009500000000003,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(C(c1ccccc1)c1ccccc1)N1CCOCC1,12.969544595616023,0.1626851851851856,-0.2310185185185191,0.8654108677236334,281.355,108.0,0.2342365580826034,-0.3777742041916566,0.3777742041916566,0.2342365580826034,0.8571428571428571,1.3333333333333333,1.809523809523809,16.47785034612978,9.89677345238174,2.27741288159038,-2.304939760463152,2.2663090437471456,-2.428896906817043,5.868866040407494,-0.1354583424412205,2.576973968698089,1.941152860233852,537.1820259565628,5.192038169889576,3.835519739467024,-2.13,109676.0121077907,6.547579499570575,3.138251866331591,9.636772684650529,0.0,0.0,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,60.6636706846161,11.126902983393991,13.08951281182515,19.13166997518723,9.53140013787187,5.907179729351506,0.0,4.899909730850477,0.0,5.917906046161393,26.303276740850983,71.7905736680101,0.0,0.0,0.0,0.0,0.0,37.11036620105297,9.53140013787187,0.0,17.044809029555385,60.6636706846161,0.0,0.0,29.540000000000003,0.0,4.794537184071822,11.8250857755129,26.303276740850983,11.126902983393991,0.0,0.0,65.56358041546657,0.0,4.736862953800049,5.347144746787604,0.0,14.880424225245656,0.0,2.0836885865457297,-0.0683333333333335,19.985171327790376,0.0,2.605237780297304,0.0,0.2777777777777778,0.0,3.0,0.0,1.0,1.0,2.0,0.0,2.0,3.0,3.0,0.0,1.0,1.0,3.0,2.6773000000000007,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C(=O)NCc1ccccc1)c1ccc(-c2ccccc2)c(F)c1,14.478657024576489,0.1150794700596287,-0.4138559250860849,0.7058583938567335,333.406,126.0,0.2270270829558289,-0.3515057507380541,0.3515057507380541,0.2270270829558289,0.96,1.6,2.24,19.142192569577517,9.960085923252992,2.166312994637384,-2.138795707547332,2.259049010375376,-2.270987436689136,5.830547537779268,-0.1218929758521535,2.6661762316604007,1.7042609846702914,846.4158913581081,6.030399626522628,4.280786521049301,-2.9399999999999986,612623.3098060002,7.75379876877876,4.126255426435942,5.316788604006331,5.817220841045894,0.0,5.907179729351506,0.0,0.0,4.794537184071822,4.39041504767482,0.0,0.0,72.79640482153933,29.680458743243214,12.10820789760957,5.917906046161393,9.184952231746642,5.907179729351506,0.0,5.316788604006331,0.0,19.38639965176459,0.0,95.80689571444084,11.126902983393991,5.316788604006331,4.39041504767482,0.0,0.0,5.907179729351506,11.339293589984395,5.817220841045894,23.96854622924601,78.86277189000094,0.0,11.126902983393991,29.1,5.917906046161393,9.184952231746642,11.7244005703974,17.671659389306566,11.126902983393991,6.06636706846161,12.990104268152232,66.73003775307771,5.316788604006331,0.0,14.478657024576489,0.0,12.349448888753544,2.901575463327357,3.074421110980386,-0.8424452341389577,24.11583791393863,0.0,2.255838165895886,0.0,0.1363636363636363,1.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,5.0,0.0,0.0,0.0,3.0,4.912600000000004,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)N(C(=O)c1ccc(C(F)(F)F)cn1)c1ccccc1,12.537090377856073,0.0226360544217687,-4.466525019443041,0.8529254026669805,308.30299999999994,116.0,0.4173894909854884,-0.3045379813640521,0.4173894909854884,0.3045379813640521,1.0909090909090908,1.7272727272727273,2.1818181818181817,19.413177818682065,10.158122627919,2.311002907146836,-2.26186434734393,2.284024809667097,-2.3707667643992987,6.046355947718886,-0.1373850458520682,2.471014571024243,2.322662594872063,636.6905364961104,5.0343255650819545,3.0794882983260794,-2.37,67527.88619695051,6.171965444567126,3.4432485565673674,4.899909730850477,5.693927994848461,0.0,0.0,5.907179729351506,6.176298517443475,9.778515705019029,0.0,13.17124514302446,0.0,18.19910120538483,38.112942673227685,17.9260706754446,5.563451491696996,17.96578232709628,11.594566004035068,0.0,4.983978520947208,0.0,26.065613745972684,4.899909730850477,59.9187925373898,0.0,4.899909730850477,18.858631417708025,0.0,0.0,16.932999079446674,6.176298517443475,0.0,29.89939106999853,48.661413050844345,0.0,0.0,33.2,17.646929738491977,17.96578232709628,11.735768823996422,11.884229846296638,12.13273413692322,4.899909730850477,24.26546827384644,19.913841467842857,4.983978520947208,0.0,37.61127113356821,0.0,17.68821853741497,0.0,-0.2272138631687246,-0.4352551020408153,10.745476535891624,-3.789210204628226,3.656712962962963,0.0,0.25,0.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0,3.0,0.0,0.0,0.0,2.0,4.155600000000003,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Cc1ccc2cc(C(=O)NCc3ccccc3)ccc2n1,12.197099237843286,0.0682147581254721,-0.0682147581254721,0.7955156970799055,276.33900000000006,104.0,0.2510688243503106,-0.3479617077981789,0.3479617077981789,0.2510688243503106,1.0476190476190477,1.8571428571428568,2.6666666666666665,16.149069429895842,10.100644147442852,2.0628189491429074,-2.063742862334574,2.1454245840861503,-2.2216058041855864,5.974111812828406,0.0950801506159191,2.5277594859889523,1.7663458946525423,781.5851352057824,5.028389119105065,3.3865124940035045,-2.6799999999999997,86803.26074886062,5.751772479172652,3.081582070290516,5.316788604006331,0.0,0.0,0.0,5.907179729351506,0.0,9.778515705019029,0.0,0.0,0.0,36.39820241076966,36.75265696523406,23.18836010692283,5.516700717616262,4.794537184071822,16.81010466143256,0.0,10.300767124953538,0.0,13.4684936056032,0.0,77.48450166285856,0.0,5.316788604006331,0.0,0.0,0.0,10.891158250298712,6.544756405912575,6.923737199690624,21.615368162314272,60.6636706846161,0.0,10.902924932081056,41.99,0.0,4.794537184071822,5.907179729351506,12.10820789760957,22.16030441862652,0.0,0.0,67.58740788430673,10.300767124953538,0.0,0.0,0.0,16.635060960347307,3.911565072016461,3.6309290013294,-0.0682147581254721,19.400800731579984,0.0,2.489858992852319,0.0,0.1111111111111111,1.0,3.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,3.473220000000002,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
COc1ccc(NC(=O)C(C)(C)c2ccccc2)cc1,12.44674469324767,0.0334566326530609,-0.5821550217309146,0.9204006797634424,269.344,104.0,0.2339619262993814,-0.4967658883917208,0.4967658883917208,0.2339619262993814,1.0,1.6,2.15,16.465282608095297,9.834827513424836,2.289931463085241,-2.2379603637475887,2.2500435456942958,-2.3417234030193663,5.980944869572595,-0.1200200062566221,2.4855631498459787,2.1415535578420384,573.6988161984984,5.173651089238632,3.4110192266575305,-2.29,34479.732014663416,5.780708152415934,2.991465685162001,10.05365155780638,5.749511833283905,0.0,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,30.33183534230805,43.67639416492469,5.687386274683562,12.524788010674312,9.53140013787187,11.594566004035068,0.0,0.0,0.0,19.262464868778025,12.426586145283864,60.160755107851486,5.749511833283905,10.05365155780638,5.687386274683562,5.749511833283905,0.0,13.016977270629038,10.2095276534686,0.0,19.410925891078243,54.59730361615449,0.0,0.0,38.33,5.414990469396779,4.794537184071822,5.907179729351506,0.0,17.000349599664464,0.0,7.109797541277533,68.44477801553575,5.316788604006331,4.736862953800049,5.098042330753595,0.0,12.44674469324767,2.93749149659864,1.1732318305408589,0.7353568465698701,17.072940278983747,0.0,3.835694444444445,1.6171647455278406,0.2352941176470588,1.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,2.0,3.611500000000002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(NC(=O)C1Cc2ccccc2C1)c1cccc2ccccc12,12.722554642227262,0.0067705971277396,0.0067705971277396,0.7608091982633949,315.416,120.0,0.2237520171565403,-0.3493007851635687,0.3493007851635687,0.2237520171565403,0.9166666666666666,1.5416666666666667,2.2916666666666665,16.14992806062663,9.982389838166664,2.275764441862344,-2.187720155350353,2.282494547675252,-2.3284347894338797,5.869816183067464,-0.1248982096820025,3.0523125295206537,1.5192507292212136,868.8703203227332,6.672533890837209,5.070437263906144,-2.609999999999999,601665.7411940522,6.120849746668955,2.688210141863966,5.316788604006331,0.0,0.0,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,66.73003775307771,47.22818334956322,5.917906046161393,6.041840829147961,4.794537184071822,16.679628158281098,0.0,5.316788604006331,5.917906046161393,25.807221274690605,0.0,83.42039222816872,0.0,5.316788604006331,0.0,0.0,0.0,5.907179729351506,17.63618042992384,5.917906046161393,29.65593250392957,66.73003775307771,0.0,10.772448428929591,29.1,0.0,4.794537184071822,17.86692660466086,0.0,12.84164324585202,27.46280290402058,0.0,12.13273413692322,66.83782941985145,0.0,0.0,0.0,12.722554642227262,5.649203499556133,3.8082305949621977,0.2143153712102119,22.9982596675544,1.702904856386999,2.071198034769463,0.0,0.2272727272727272,1.0,2.0,1.0,0.0,1.0,3.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,4.0,4.432000000000004,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
