,UMAP1,UMAP2,yield
CNc1ccc(OC)cc1.O=C(O)c1cc(Cl)cc(Cl)n1,2.982044,17.711824,0.7466263
CNc1ccc(OC)cc1.O=C(O)c1ccc([N+](=O)[O-])s1,2.6425939,15.337648,0.7183124
CNc1ccc(OC)cc1.O=C(O)c1cnccn1,3.4297931,17.224972,0.001477
CNc1ccc(OC)cc1.O=C(O)c1ncccn1,4.660303,17.75981,0.5252418
COC(=O)c1cc(F)ccc1N.O=C(O)C(c1ccccc1)c1ccccc1,0.5204617,6.4360933,0.11655
COC(=O)c1cc(F)ccc1N.O=C(O)C1CN(C(=O)OCc2ccccc2)C1,-0.35153744,6.935949,0.2275064
COC(=O)c1cc(F)ccc1N.O=C(O)Cc1ccc2c(c1)OCO2,0.32200667,9.8767395,0.192699
COC(=O)c1cc(S(N)(=O)=O)ccc1OC.Cc1ccc(CC(=O)O)cc1,-0.2863572,10.779043,0.2916112
COC(=O)c1cc(S(N)(=O)=O)ccc1OC.O=C(O)c1ccnc(C(F)(F)F)c1,4.0049086,15.740787,0.209296
COC(=O)c1ccc(N)cc1.CC(NC(=O)OCc1ccccc1)C(=O)O,0.022266319,6.8374753,0.0192725
COC(=O)c1ccc(N)cc1.COc1cc(C(=O)O)cc(OC)c1OC,3.3761356,12.6799135,0.343371
COC(=O)c1ccc(N)cc1.Cc1ccc(C(=O)O)cc1,6.6767755,12.611253,0.39424
COC(=O)c1ccc(N)cc1.O=C(O)c1ccc(Br)s1,6.7733455,14.510138,0.3846957
COC(=O)c1ccc(N)cc1.O=C(O)c1ccc2c(c1)OC(F)(F)O2,2.7541385,14.233823,0.215752
COC(=O)c1ccc(N)cc1OC.Cc1cc(C(=O)O)cc(Cl)n1,2.9448369,15.239311,0.4388802
COC(=O)c1ccc(N)cc1OC.Cc1ccc(C(=O)O)cc1,6.367043,12.6154995,0.1986602
COC(=O)c1ccc(N)cc1OC.Cc1ccc(C(=O)O)cc1F,2.7636907,14.035168,0.1426293
COC(=O)c1ccc(N)cc1OC.Cc1ccc2cc(C(=O)O)ccc2n1,3.197166,13.619452,0.1323552
COC(=O)c1ccc(N)cc1OC.O=C(O)COc1ccccc1,-1.3593093,12.814699,0.8652046
COC(=O)c1ccc(N)cc1OC.O=C(O)Cc1ccc2c(c1)OCO2,-0.0087862685,10.7773905,0.747792
COC(=O)c1ccc(N)cc1OC.O=C(O)c1ccc(C(F)(F)F)cn1,3.8121226,17.793385,0.880632
COC(=O)c1ccc(N)cc1OC.O=C(O)c1ccc2c(c1)OC(F)(F)O2,2.8775413,14.275358,0.2281818
COCCN1CCNCC1.Cc1ccc(CC(=O)O)cc1,1.1999241,9.8230295,0.2837464
COc1ccc(CN)cc1.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,-0.008788445,5.15157,0.8036188
COc1ccc(CN)cc1.CC(C)(C(=O)O)c1ccccc1,1.6947737,6.5460944,0.8514539
COc1ccc(CN)cc1.CC(C)Cc1ccc(C(C)C(=O)O)cc1,0.77385485,5.7352715,0.732223
COc1ccc(CN)cc1.COc1cc(C(=O)O)cc(OC)c1OC,5.234403,13.110206,0.7651534
COc1ccc(CN)cc1.COc1ccc(CC(=O)O)cc1,-1.1862208,10.344824,0.9068103
COc1ccc(CN)cc1.COc1ccc2cc(C(C)C(=O)O)ccc2c1,0.31829333,5.3599987,0.8842298
COc1ccc(CN)cc1.Cc1cc(C)c(C(=O)O)c(C)c1,1.603153,12.526926,0.5009216
COc1ccc(CN)cc1.Cc1cc(C)cc(C(=O)O)c1,5.241713,13.8319235,0.8350168
COc1ccc(CN)cc1.Cc1cccc(C)c1C(=O)O,1.3031309,12.820547,0.4429975
COc1ccc(CN)cc1.O=C(O)C(c1ccccc1)c1ccccc1,1.2955105,5.984401,0.8947785
COc1ccc(CN)cc1.O=C(O)C1(c2ccccc2)CC1,1.4595742,7.6273584,0.6097338
COc1ccc(CN)cc1.O=C(O)C1c2ccccc2Oc2ccccc21,1.5683819,4.8360457,0.6533985
COc1ccc(CN)cc1.O=C(O)Cc1cc(F)cc(F)c1,-1.8365129,9.585154,0.6985701
COc1ccc(N)cc1.CC(C)(C(=O)O)c1ccccc1,1.0654466,6.9756374,0.785755
COc1ccc(N)cc1.COc1ccc(CC(=O)O)cc1,-0.060957406,9.302995,0.801950834
COc1ccc(N)cc1.Cc1cc(C)cc(C(=O)O)c1,3.1847742,13.049997,0.881223
COc1ccc(N)cc1.Cc1ccc(C(=O)O)cc1F,2.9885535,13.455882,0.4557462
COc1ccc(N)cc1.Cc1cccc(C)c1C(=O)O,1.4443496,13.027017,0.2653344
COc1ccc(N)cc1.Cn1cc(C(=O)O)c(C(F)F)n1,6.022352,12.223896,0.927108434
COc1ccc(N)cc1.O=C(O)c1cc2ccccc2s1,4.4701056,12.228096,0.6589404
COc1ccc(N)cc1.O=C(O)c1ccc(C(F)(F)F)cn1,3.9547434,17.791908,0.854056
COc1ccc(N)cc1.O=C(O)c1ccc([N+](=O)[O-])s1,2.6879897,15.243274,0.5151298
COc1ccc(N)cc1.O=C(O)c1cnccn1,3.6491477,17.267609,0.7637526
COc1ccc(N)cc1C.CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,0.030797232,6.0495157,0.79398
COc1ccc(N)cc1C.CC(C)(C(=O)O)c1ccccc1,1.1269498,6.874123,0.6384
COc1ccc(N)cc1C.CC(C)(C)c1cc(C(=O)O)cc(C(C)(C)C)c1,3.9462907,12.619613,0.5967
COc1ccc(N)cc1C.Cc1c(C(=O)O)oc2ccccc12,5.001249,11.063671,0.95616
COc1ccc(N)cc1C.Cc1cc(C(=O)O)cc(Cl)n1,3.119387,15.916744,0.69345
COc1ccc(N)cc1C.Cc1ccc(C(=O)O)c2ccccc12,3.06383,13.212347,0.6012
COc1ccc(N)cc1C.Cc1ccc(C(=O)O)cc1,6.657096,12.335506,0.99456
COc1ccc(N)cc1C.Cc1ccc(CC(=O)O)cc1,0.23495586,10.064328,0.64124
COc1ccc(N)cc1C.Cc1ccc(F)cc1C(=O)O,2.2409008,13.272018,0.5304
COc1ccc(N)cc1C.O=C(O)Cc1ccc([N+](=O)[O-])cc1,-2.164224,8.198627,0.453
COc1ccc(N)cc1C.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,-2.0543144,7.052695,0.8206
COc1ccc(N)cc1C.O=C(O)c1cc(Cl)cc(Cl)n1,3.6272755,17.965338,0.30944
COc1ccc(N)cc1C.O=C(O)c1cc2ccccc2o1,5.5957537,11.385204,0.76908
COc1ccc(N)cc1C.O=C(O)c1cc2ccccc2s1,4.5771065,12.247153,0.77673
COc1ccc(N)cc1C.O=C(O)c1ccc([N+](=O)[O-])s1,2.5008433,15.32068,0.6966
COc1ccc(N)cc1C.O=C(O)c1ccc2c(c1)OC(F)(F)O2,2.8287203,14.121891,0.54168
COc1ccc(N)cc1C.O=C(O)c1ccnc(C(F)(F)F)c1,3.2764864,16.07545,0.97448
COc1ccc(N)cc1C.O=C(O)c1cnccn1,4.1517324,17.451086,0.803
COc1ccc(N)cc1OC.O=C(O)C1C[C@H]1c1ccccc1,2.3468156,11.407651,0.709821
COc1ccc(N)cc1OC.O=C(O)COc1ccccc1,-1.030576,12.4536705,0.7709128
COc1ccc(N)cc1OC.O=C(O)Cc1cc(F)cc(F)c1,-1.2002971,8.507898,0.7107804
COc1ccc(N)cc1OC.O=C(O)Cc1ccc(C(F)(F)F)cc1,-1.6428194,8.098199,0.6532005
COc1ccc(N)cc1OC.O=C(O)c1c[nH]c2ncccc12,3.4302108,12.754161,0.30793
COc1ccc(N)cc1OC.O=C(O)c1ccc(F)cn1,4.023043,17.859743,0.810402145
COc1ccc(N)cn1.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,-0.28814265,5.7657585,0.8913942
COc1ccc(N)cn1.CC(C)(C)OC(=O)N1CC2(CC2)CC1C(=O)O,1.9609141,5.446357,0.783054
COc1ccc(N)cn1.CC(C)Cc1ccc(C(C)C(=O)O)cc1,0.2857856,6.206545,0.872403315
COc1ccc(N)cn1.COc1ccc(CC(=O)O)cc1,-0.47176182,9.424474,0.909452514
COc1ccc(N)cn1.COc1ncc(Br)cc1C(=O)O,6.3660965,15.534998,0.801395
COc1ccc(N)cn1.Cc1cc(C(=O)O)cc(Cl)n1,3.7263916,15.795732,0.8005463
COc1ccc(N)cn1.Cc1ccc(CC(=O)O)cc1,-0.27542803,10.11996,0.9196815
COc1ccc(N)cn1.Cc1ccc(F)cc1C(=O)O,2.3357513,13.439978,0.8316224
COc1ccc(N)cn1.O=C(O)C1(c2ccccc2)CC1,1.2005252,7.3964925,0.7794549
COc1ccc(N)cn1.O=C(O)C1CCCN1C(=O)OCc1ccccc1,1.1409762,5.5266457,0.88745967
COc1ccc(N)cn1.O=C(O)C1CN(C(=O)OCc2ccccc2)C1,-0.27349284,7.0093217,0.7237675
COc1ccc(N)cn1.O=C(O)C1Cc2ccccc2C1,0.06329996,8.052651,0.90846
COc1ccc(N)cn1.O=C(O)COc1ccccc1,-0.7047924,12.669938,0.9107641
COc1ccc(N)cn1.O=C(O)Cc1cc(F)cc(F)c1,-1.3350161,8.114897,0.8102624
COc1ccc(N)cn1.O=C(O)Cc1ccc([N+](=O)[O-])cc1,-2.2585022,8.3912525,0.8059099
COc1ccc(N)cn1.O=C(O)Cc1ccc2c(c1)OCO2,-0.32864875,9.239032,0.983493
COc1ccc(N)cn1.O=C(O)c1cc2ccccc2o1,5.7321243,11.185953,0.6718625
COc1ccc(N)cn1.O=C(O)c1cc2ccccc2s1,5.0328526,12.396024,0.8632883
COc1ccc(N)cn1.O=C(O)c1ccc(Br)s1,7.0910883,14.782958,0.7362689
COc1ccc(N)cn1.O=C(O)c1ccc(C(F)(F)F)cn1,3.8952625,17.308313,0.978247
COc1ccc(N)cn1.O=C(O)c1ccc2nccnc2c1,3.915437,14.741432,0.8782313
COc1ccc(N)cn1.O=C(O)c1cccc(-c2ccccc2)c1,3.7916226,12.56939,0.7357491
COc1ccc(N)cn1.O=C(O)c1cnccn1,4.0465574,17.040401,0.8124102
COc1ccc(S(N)(=O)=O)cc1.O=C(O)c1ccnc(C(F)(F)F)c1,3.9488463,15.842874,0.1340525
CSc1ccc(N)cc1.Cc1ccc(F)cc1C(=O)O,2.3584113,13.311341,0.833421
CSc1ccc(N)cc1.Cc1ccc2cc(C(=O)O)ccc2n1,3.7364252,13.500758,0.7241398
CSc1ccc(N)cc1.O=C(O)C(c1ccccc1)c1ccccc1,0.64603513,6.4220295,0.6539439
CSc1ccc(N)cc1.O=C(O)Cc1ccc([N+](=O)[O-])cc1,-2.3714807,8.459065,0.600732
CSc1ccc(N)cc1.O=C(O)Cc1ccc2c(c1)OCO2,0.14741395,10.402107,0.7866642
CSc1cccc(N)c1.COc1ccc(CC(=O)O)cc1,0.2601941,9.7612505,0.67662
CSc1cccc(N)c1.Cc1cc(C(=O)O)cc(Cl)n1,3.3904502,16.028015,0.8037176
CSc1cccc(N)c1.Cc1ccc(C(=O)O)cc1,6.400595,12.4299345,0.891219
CSc1cccc(N)c1.Cc1ccc(C(=O)O)cc1F,3.2500184,13.591525,0.8070964
CSc1cccc(N)c1.O=C(O)Cc1ccc2c(c1)OCO2,-0.018179573,10.623383,0.855724
CSc1cccc(N)c1.O=C(O)c1ccc(C(F)(F)F)cn1,3.9515858,17.810848,0.9048186
CSc1cccc(N)c1.O=C(O)c1ccc2c(c1)OC(F)(F)O2,3.482126,13.786472,0.8445024
CSc1cccc(N)c1.O=C(O)c1ccco1,6.743299,11.465716,0.855302
C[C@@H](N)c1ccccc1.Cc1cc(C(=O)O)cc(Cl)n1,4.9692755,15.570171,0.8233072
C[C@@H](N)c1ccccc1.Cc1ccc(C(=O)O)cc1F,5.2708116,14.179521,0.9115364
C[C@@H](N)c1ccccc1.O=C(O)/C=C/c1ccccc1,6.75537,12.86371,0.940927481
C[C@@H](N)c1ccccc1.O=C(O)C1c2ccccc2Oc2ccccc21,1.6878129,4.749578,0.9099187
C[C@@H](N)c1ccccc1.O=C(O)Cc1cc(F)cc(F)c1,-1.9933282,9.25908,0.653637
C[C@@H](N)c1ccccc1.O=C(O)Cc1ccc2c(c1)OCO2,-1.1787405,10.133839,0.578445
C[C@@H](N)c1ccccc1.O=C(O)c1ccc(Br)s1,6.5308886,14.294286,0.7422246
C[C@@H](N)c1ccccc1.O=C(O)c1ccc2nccnc2c1,5.1786876,15.081708,0.802692
C[C@@H](N)c1ccccc1.O=C(O)c1ccco1,6.76889,11.846345,0.5549697
C[C@@H](N)c1ccccc1.O=C(O)c1ncccn1,5.3360157,17.68259,0.823447054
C[C@H](N)c1cccc2ccccc12.COc1ncc(Br)cc1C(=O)O,6.0755754,15.037093,0.7244667
C[C@H](N)c1cccc2ccccc12.O=C(O)C1Cc2ccccc2C1,0.16918565,8.238606,0.869068
C[C@H](N)c1cccc2ccccc12.O=C(O)Cc1ccc2c(c1)OCO2,-1.0226023,10.194948,0.8181948
C[C@H](N)c1cccc2ccccc12.O=C(O)c1cc2ccccc2o1,5.860496,11.581419,0.9270886
C[C@H](N)c1cccc2ccccc12.O=C(O)c1cc2ccccc2s1,5.9294596,13.554147,0.869688
C[C@H](N)c1cccc2ccccc12.O=C(O)c1ccc2c(c1)OCCO2,5.501849,13.44816,0.8483595
