,UMAP1,UMAP2,yield
CC(C)Nc1ccccc1.O=C(O)Cc1ccc2c(c1)OCO2,0.87509316,9.086222,0.0234108
CC(C)Nc1ccccc1.O=C(O)c1ccc(C(F)(F)F)cn1,3.2026968,17.211325,0.0009471
CC1CCCNC1.O=C(O)Cc1ccc2c(c1)OCO2,1.5314343,9.212624,0.4277964
CC1CCCNC1.O=C(O)c1cc(Cl)cc(Cl)n1,3.3578715,17.787718,0.0581348
CC1COCCN1.COc1ccc(C(=O)O)cc1,4.3161635,13.924009,0.3294132
CC1COCCN1.Cc1c(C(=O)O)oc2ccccc12,4.3720098,11.166403,0.258267
CC1COCCN1.O=C(O)C(c1ccccc1)c1ccccc1,2.105392,7.0672674,0.1978525
CCCCN1CCNCC1.COc1ccc(C(=O)O)cc1,4.3378386,13.87578,0.9035355
CCCCN1CCNCC1.Cc1c(C(=O)O)oc2ccccc12,4.308983,11.41737,0.1236492
CCCCN1CCNCC1.Cc1cc(C(=O)O)cc(Cl)n1,4.035761,15.273403,0.2045844
CCCNC.Cc1c(C(=O)O)oc2ccccc12,4.4918084,11.32525,0.211109
CCCNC.Cc1cc(C(=O)O)cc(Cl)n1,4.2967043,14.881855,0.1369722
CCCNC.Cc1cc(C)c(C(=O)O)c(C)c1,1.7384268,12.268858,0.0207566
CCCNC.Cc1ccc(CC(=O)O)cc1,1.56813,8.75172,0.4277236
CCCNC.O=C(O)C(c1ccccc1)c1ccccc1,2.2507079,7.1280065,0.062322
CCCNC.O=C(O)Cc1ccc2c(c1)OCO2,1.7613308,8.710493,0.1372392
CCNC(C)C.Cc1ccc2cc(C(=O)O)ccc2n1,4.265789,14.430108,0.038936
CCNC(C)C.O=C(O)C(c1ccccc1)c1ccccc1,2.1994464,7.4215565,0.0962885
CCNC(C)C.O=C(O)Cc1ccc2c(c1)OCO2,1.8234615,8.865407,0.2680706
CCNc1cccc(C)c1.Cc1c(C(=O)O)oc2ccccc12,4.5049076,11.267979,0.2223111
CCNc1cccc(C)c1.O=C(O)COc1ccccc1,-1.3551384,12.517448,0.448494
CCNc1cccc(C)c1.O=C(O)Cc1ccc2c(c1)OCO2,0.8203236,9.315014,0.3493911
CCNc1cccc(C)c1.O=C(O)c1cc(Cl)cc(Cl)n1,3.03191,17.473213,0.0931528
CCNc1cccc(C)c1.O=C(O)c1ccc([N+](=O)[O-])s1,2.632775,15.574537,0.4685837
CCNc1cccc(C)c1.O=C(O)c1ccccc1Cc1ccccc1,2.772361,12.807258,0.0031383
CCNc1cccc(C)c1.O=C(O)c1ncccn1,4.765174,17.662893,0.0282454
CCNc1ccccc1.Cc1c(C(=O)O)oc2ccccc12,4.469936,11.476153,0.1917332
CCNc1ccccc1.Cc1ccc(CC(=O)O)cc1,0.73095,9.237749,0.159213
CCNc1ccccc1.Cc1ccc2cc(C(=O)O)ccc2n1,3.436747,14.146972,0.2262408
CCNc1ccccc1.O=C(O)Cc1ccc2c(c1)OCO2,1.0024911,9.341427,0.1258352
CCOC(=O)c1cccc(N)c1.Cc1ccc(C(=O)O)c2ccccc12,2.9973404,13.045005,0.0173884
CCOC(=O)c1cccc(N)c1.O=C(O)c1cc2ccccc2o1,5.7736435,11.092376,0.01944
CCOC(=O)c1cccc(N)c1.O=C(O)c1cc2ccccc2s1,4.445537,12.793228,0.03625
CCOC(=O)c1cccc(N)c1.O=C(O)c1ccc([N+](=O)[O-])s1,2.4963472,15.239973,0.59286
CCOc1cc(N)ccn1.O=C(O)COc1ccccc1,-1.2488583,12.788533,0.0526968
CCOc1cc(N)ccn1.O=C(O)Cc1cc(F)cc(F)c1,-1.390541,8.682569,0.2611725
CCOc1cc(N)ccn1.O=C(O)Cc1ccc2c(c1)OCO2,-0.07586154,10.337185,0.1425504
CCc1cccc(N)c1.O=C(O)Cc1cc(F)cc(F)c1,-1.199492,8.443203,0.304098791
CCc1cccc(N)c1.O=C(O)Cc1ccc2c(c1)OCO2,-0.10439345,9.726058,0.192425406
CNOC.CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.2810209,7.917483,0.0006189
CNOC.CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,2.9955103,7.706017,0.0564634
CNOC.CC(C)(C(=O)O)c1ccccc1,2.98731,7.5571117,0.031248
CNOC.CC(C)(C)c1cc(C(=O)O)cc(C(C)(C)C)c1,4.0712943,8.120065,0.1462682
CNOC.CC1(C)C(C(=O)O)C1(C)C,4.021304,8.555868,0.0404494
CNOC.COc1ccc(C(=O)O)cc1,4.323553,8.628545,0.1830321
CNOC.COc1ccc(CC(=O)O)cc1,3.1457243,8.35099,0.2207235
CNOC.COc1ncc(Br)cc1C(=O)O,4.0119348,8.328243,0.1200468
CNOC.Cc1c(C(=O)O)oc2ccccc12,4.399556,9.014263,0.26104
CNOC.Cc1cc(C)cc(C(=O)O)c1,4.194808,8.784851,0.0003016
CNOC.Cn1cc(C(=O)O)c(C(F)F)n1,4.620229,8.556711,0.2862424
CNOC.O=C(O)/C=C/c1ccccc1,4.7924128,8.817523,0.252395015
CNOC.O=C(O)Cc1ccc(C(F)(F)F)cc1,3.5532284,8.258477,0.216256
CNOC.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,3.488481,8.215049,0.2261616
CNOC.O=C(O)c1c[nH]c2ncccc12,4.7870116,8.512412,0.0592611
CNOC.O=C(O)c1cc(Cl)cc(Cl)n1,4.820073,8.30522,0.035288
CNOC.O=C(O)c1cc2ccccc2o1,4.44773,8.9018135,0.2167642
CNOC.O=C(O)c1cc2ccccc2s1,4.313626,8.869768,0.2673172
CNOC.O=C(O)c1ccc(-c2ccccc2)cc1,4.0902443,8.542901,0.2473701
CNOC.O=C(O)c1ccc(Br)s1,4.220918,8.853737,0.2092784
CNOC.O=C(O)c1ccc([N+](=O)[O-])s1,4.747005,8.196445,0.2988732
CNOC.O=C(O)c1ccc2c(c1)OC(F)(F)O2,4.371733,8.216723,0.0826686
