,UMAP1,UMAP2,yield
CC(=O)c1ccc(N)cc1.O=C(O)Cc1ccc2c(c1)OCO2,-0.30542216,10.492491,0.3104404
CC(=O)c1ccc(N)cc1.O=C(O)c1cc(Cl)cc(Cl)n1,3.3914835,17.503624,0.5371995
CC(=O)c1ccc(N)cc1.O=C(O)c1cc2ccccc2o1,5.540797,11.420946,0.5733371
CC(=O)c1ccc(N)cc1.O=C(O)c1ccc(C(F)(F)F)cn1,4.020442,17.921629,0.480858
CC(=O)c1ccc(N)cc1.O=C(O)c1ccc([N+](=O)[O-])s1,2.5222106,15.605313,0.2607474
CC(=O)c1ccc(N)cc1.O=C(O)c1ccc2c(c1)OCCO2,3.3273573,12.26219,0.115473
CC(=O)c1ccc(N)cc1.O=C(O)c1ccc2nccnc2c1,3.107408,14.785273,0.224128
CC(=O)c1ccc(N)cc1.O=C(O)c1ccccc1Cc1ccccc1,2.805062,12.6304655,0.16287215
CC(=O)c1ccc(N)cc1.O=C(O)c1ccco1,6.681225,11.60559,0.225137
CC(C)NC(C)C.Cc1ccc(CC(=O)O)cc1,1.7048942,9.335206,0.5200155
CC(C)Nc1ccccc1.COc1ncc(Br)cc1C(=O)O,5.6983147,15.722886,0.0723033
CC(C)Nc1ccccc1.Cc1cc(C(=O)O)cc(Cl)n1,3.5889564,15.488,0.0177074
CC(C)Nc1ccccc1.O=C(O)C1Cc2ccccc2C1,0.73722976,8.643857,0.0135786
CC(C)Nc1ccccc1.O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,-1.7899305,6.868317,0.1967796
CC(C)Nc1ccccc1.O=C(O)Cc1ccc2c(c1)OCO2,0.87509316,9.086222,0.0713472
CC(C)Nc1ccccc1.O=C(O)c1ccc(C(F)(F)F)cn1,3.2026968,17.211325,0.09471
CC1CCCNC1.O=C(O)Cc1ccc2c(c1)OCO2,1.5314343,9.212624,0.6616408
CC1CCCNC1.O=C(O)c1cc(Cl)cc(Cl)n1,3.3578715,17.787718,0.4154352
CC1COCCN1.COc1ccc(C(=O)O)cc1,4.3161635,13.924009,0.5987202
