Reaction #,Prod_Smiles,ArX_Smiles,Acid_Smiles,CAD Yield
2712,Cn1nc(C(=O)N2CCC(c3c[nH]c(=O)[nH]c3=O)CC2)c2c1CCN(C(=O)C1CC1)C2,O=c1[nH]cc(Br)c(=O)[nH]1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.6
2713,Cn1nc(C(=O)N2CCC(c3cncnc3)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1cncnc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,60.9
2714,Cn1nc(C(=O)N2CCC(c3cccnc3)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1cccnc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,75.3
2715,Cn1nc(C(=O)N2CCC(c3cncc4ccccc34)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1cncc2ccccc12,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,7.4
2716,Cn1nc(C(=O)N2CCC(c3ccc(-c4ccccc4)cc3[N+](=O)[O-])CC2)c2c1CCN(C(=O)C1CC1)C2,O=[N+]([O-])c1cc(-c2ccccc2)ccc1Br,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.0
2717,Cn1nc(C(=O)N2CCC(c3ccc(CCN)cc3)CC2)c2c1CCN(C(=O)C1CC1)C2,NCCc1ccc(Br)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.4
2718,Cn1nc(C(=O)N2CCC(c3cncc(C(=O)O)c3)CC2)c2c1CCN(C(=O)C1CC1)C2,O=C(O)c1cncc(Br)c1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.0
2719,CCOC(=O)/C=C/c1ccc(C2CCN(C(=O)c3nn(C)c4c3CN(C(=O)C3CC3)CC4)CC2)cc1,CCOC(=O)/C=C/c1ccc(Br)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.0
2720,Cn1nc(C(=O)N2CCC(c3cnc(N)nc3)CC2)c2c1CCN(C(=O)C1CC1)C2,Nc1ncc(Br)cn1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,21.9
2721,Cn1nc(C(=O)N2CCC(c3ncccn3)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1ncccn1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,20.4
2722,CCOC(=O)c1ccc(C2CCN(C(=O)c3nn(C)c4c3CN(C(=O)C3CC3)CC4)CC2)cc1,CCOC(=O)c1ccc(Br)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,8.6
2723,CCOC(=O)Cc1ccc(C2CCN(C(=O)c3nn(C)c4c3CN(C(=O)C3CC3)CC4)CC2)cc1,CCOC(=O)Cc1ccc(Br)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,8.1
2724,CCc1cccc(CC)c1C1CCN(C(=O)c2nn(C)c3c2CN(C(=O)C2CC2)CC3)CC1,CCc1cccc(CC)c1Br,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.0
2725,CN(C)S(=O)(=O)c1ccc(C2CCN(C(=O)c3nn(C)c4c3CN(C(=O)C3CC3)CC4)CC2)cc1,CN(C)S(=O)(=O)c1ccc(Br)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,18.2
2726,Cn1nc(C(=O)N2CCC(c3ccc(O)c(C(=O)Nc4ccc(Cl)cc4)c3)CC2)c2c1CCN(C(=O)C1CC1)C2,O=C(Nc1ccc(Cl)cc1)c1cc(Br)ccc1O,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.0
2727,CCOC(=O)c1cc2cc(C3CCN(C(=O)c4nn(C)c5c4CN(C(=O)C4CC4)CC5)CC3)ccc2[nH]1,CCOC(=O)c1cc2cc(Br)ccc2[nH]1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,7.2
2728,Cn1nc(C(=O)N2CCC(c3ccc(S(C)(=O)=O)cc3)CC2)c2c1CCN(C(=O)C1CC1)C2,CS(=O)(=O)c1ccc(Br)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,41.9
2729,CC(C)c1ccc(C2CCN(C(=O)c3nn(C)c4c3CN(C(=O)C3CC3)CC4)CC2)cc1,CC(C)c1ccc(Br)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,53.1
2730,Cn1nc(C(=O)N2CCC(c3ccc(SC(F)(F)F)cc3)CC2)c2c1CCN(C(=O)C1CC1)C2,FC(F)(F)Sc1ccc(Br)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.0
2731,Cn1nc(C(=O)N2CCC(c3ccc(-c4nnc(-c5ccccc5)o4)cc3)CC2)c2c1CCN(C(=O)C1CC1)C2,Brc1ccc(-c2nnc(-c3ccccc3)o2)cc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,1.5
2732,CC(C)c1ccccc1C1CCN(C(=O)c2nn(C)c3c2CN(C(=O)C2CC2)CC3)CC1,CC(C)c1ccccc1Br,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.0
2733,Cn1nc(C(=O)N2CCC(c3ccc(-c4ccccc4)c(F)c3)CC2)c2c1CCN(C(=O)C1CC1)C2,Fc1cc(Br)ccc1-c1ccccc1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,23.1
2734,CC(=O)Nc1ccc(C(C)=O)cc1C1CCN(C(=O)c2nn(C)c3c2CN(C(=O)C2CC2)CC3)CC1,CC(=O)Nc1ccc(C(C)=O)cc1Br,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,3.5
2735,CC(=O)N1CCc2cc(C3CCN(C(=O)c4nn(C)c5c4CN(C(=O)C4CC4)CC5)CC3)ccc21,CC(=O)N1CCc2cc(Br)ccc21,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.1
2736,Cn1nc(C(=O)N2CCC(c3cc(C(F)(F)F)cc4[nH]cnc34)CC2)c2c1CCN(C(=O)C1CC1)C2,FC(F)(F)c1cc(Br)c2nc[nH]c2c1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,0.0
2737,Cc1ccnc(C2CCN(C(=O)c3nn(C)c4c3CN(C(=O)C3CC3)CC4)CC2)c1,Cc1ccnc(Br)c1,Cn1nc(C(=O)N2CCC(C(=O)O)CC2)c2c1CCN(C(=O)C1CC1)C2,85.7
