Reaction #,Prod_Smiles,ArX_Smiles,Acid_Smiles,CAD Yield
418,COC(=O)CC1CCc2cc(C3C(C)(C)C3(C)C)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,CC1(C)C(C(=O)O)C1(C)C,1.3
419,COC(=O)CC1CCc2cc(C3CC[C@@H]4CCC[C@H]34)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,O=C(O)C1CC[C@@H]2CCC[C@H]12,2.1
420,COC(=O)CC1CCc2cc(C3CC(=O)N(C)C3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,CN1CC(C(=O)O)CC1=O,32.9
421,COC(=O)CC1CCc2cc(COc3ccccc3OC)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,COc1ccccc1OCC(=O)O,55.9
422,COC(=O)CC1CCc2cc(COc3ccccc3C)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,Cc1ccccc1OCC(=O)O,55.8
423,COC(=O)CC1CCc2cc(COc3ccc(C)cc3C)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,Cc1ccc(OCC(=O)O)c(C)c1,45.6
424,COC(=O)CC1CCc2cc(COc3cc(C)ccc3C)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,Cc1ccc(C)c(OCC(=O)O)c1,46.9
425,COC(=O)CC1CCc2cc(COc3cccc(OC)c3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,COc1cccc(OCC(=O)O)c1,62.3
426,COC(=O)CC1CCc2cc(COc3ccc(OC)cc3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,COc1ccc(OCC(=O)O)cc1,33.9
427,COC(=O)CC1CCc2cc(COc3ccc(OCc4ccccc4)cc3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,O=C(O)COc1ccc(OCc2ccccc2)cc1,27.2
428,COC(=O)CC1CCc2cc(COc3ccc(O)cc3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,O=C(O)COc1ccc(O)cc1,47.9
429,CCc1ccc(OCc2cc3c4c(c2)[nH]c(=O)c(=O)n4C(CC(=O)OC)CC3)cc1,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,CCc1ccc(OCC(=O)O)cc1,50.2
430,CCCCCCCCC#CCCCCCCCc1cc2c3c(c1)[nH]c(=O)c(=O)n3C(CC(=O)OC)CC2,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,CCCCCCCCC#CCCCCCCCC(=O)O,0.0
431,COC(=O)CC1CCc2cc(COc3cccc(Cl)c3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,O=C(O)COc1cccc(Cl)c1,34.9
432,COC(=O)CC1CCc2cc(COc3cccc(C=O)c3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,O=Cc1cccc(OCC(=O)O)c1,34.7
434,COC(=O)CC1CCc2cc(C(Cc3ccccc3)NC(=O)OCc3ccccc3)cc3[nH]c(=O)c(=O)n1c23,COC(=O)CC1CCc2cc(Br)cc3[nH]c(=O)c(=O)n1c23,O=C(N[C@@H](Cc1ccccc1)C(=O)O)OCc1ccccc1,2.2
